symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret
V,2025-12-19,346.04998779296875,349.9100036621094,346.04998779296875,349.25,18623900,335.61000061035156,337.72779846191406,NA,64.71095917101887,0.9575347230150522,0.2877104626617093,0.6698242603533429,352.288803634482,318.9311975862211,335.61000061035156,0.009363862729201644
UNH,2025-12-19,328.05999755859375,334.6000061035156,326.07000732421875,327.4200134277344,10553000,329.6645004272461,337.31619934082033,NA,46.63849595717904,-0.035537112210615174,-0.1737463672599655,0.13820925504935033,342.6171723476829,316.71182850680924,329.6645004272461,-0.002194189030784721
XOM,2025-12-19,116.75,117.56999969482422,115.95999908447266,116.69000244140625,45412800,116.84750061035156,115.86480026245117,NA,49.56731715722258,0.21456497678427056,0.376678215172176,-0.16211323838790542,119.73984925503274,113.95515196567038,116.84750061035156,0.0012871248043633265
LLY,2025-12-19,1059.010009765625,1075.3800048828125,1059.010009765625,1071.43994140625,5829100,1043.9454956054688,955.6924011230469,NA,63.85350936560397,2.2410445996184247,2.5025694765724324,-0.2615248769540077,1112.5897034448876,975.3012877660499,1043.9454956054688,0.013776338331854321
JNJ,2025-12-19,207.55999755859375,209.24000549316406,206.02999877929688,206.3699951171875,24803900,206.48949813842773,197.7511993408203,NA,55.13473481506048,1.669250041552739,1.8554252743297104,-0.18617523277697146,213.39689070199879,199.58210557485668,206.48949813842773,-0.009313054890035088
WMT,2025-12-19,115.13999938964844,115.27999877929688,113.52999877929688,114.36000061035156,50043800,112.76849975585938,107.45399993896484,NA,59.85664384464512,2.3920194476355405,2.563280244691405,-0.1712607970558646,120.04453816660265,105.49246134511611,112.76849975585938,-0.004093017619163808
MA,2025-12-19,566.219970703125,572.94000244140625,565.20001220703125,572.22998046875,7262100,552.1414947509766,554.17499511718745,NA,62.112047400068846,0.8611490996899507,0.2718887057381423,0.5892603939518084,576.5617769489152,527.721212553038,552.1414947509766,0.010632023917768851
PG,2025-12-19,145.50999450683594,146.0500030517578,143.94000244140625,144.4600067138672,19345600,145.05700149536133,147.3594012451172,NA,47.2876142501894,-0.6091652733176134,-0.914738238699828,0.30557296538221457,151.6139315045451,138.50007148617757,145.05700149536133,-0.007284205109072794
HD,2025-12-19,354.1099853515625,354.1099853515625,344.9200134277344,345,12825600,352.41199798583983,365.8081982421875,NA,40.51500072146859,-0.9173870834512932,-1.1604474770360553,0.24306039358476217,363.95679885141084,340.8671971202688,352.41199798583983,-0.028141611057200033
MRK,2025-12-19,100.5999984741211,102.19999694824219,100.11000061035156,101.08999633789062,44980200,100.56300048828125,92.9533999633789,NA,60.261648758901856,1.8686947290330602,2.3584542807504505,-0.4897595517173903,105.2325061756664,95.8934948008961,100.56300048828125,0.003972528421748223
ORCL,2025-12-19,188.38999938964844,195.1199951171875,188.1199951171875,191.97000122070312,77008600,201.12949981689454,236.72519927978516,NA,39.42544138210902,-6.250989969540088,-5.819795570576607,-0.43119439896348055,227.16745350372602,175.09154613006305,201.12949981689454,0.06632229363087316
BAC,2025-12-19,54.52000045776367,55.310001373291016,54.380001068115234,55.27000045776367,73001900,53.83400058746338,52.82080024719238,NA,62.66784430172853,1.1947274681503028,1.085681161626713,0.10904630652358982,55.86670707303841,51.801294101888345,53.83400058746338,0.018614120299919934
ABBV,2025-12-19,222.9499969482422,229.47000122070312,222.35000610351562,226.82000732421875,18968800,226.55600051879884,226.6767999267578,NA,51.28883048879743,-0.31116117855205516,-0.22905366287097503,-0.08210751568108013,233.34334902194928,219.7686520156484,226.55600051879884,0.017951709310285224
KO,2025-12-19,70.05999755859375,70.7699966430664,70.029998779296875,70.05999755859375,36911100,71.03199882507325,70.13020004272461,NA,46.680872780466665,-0.0639565021917643,0.12967324283478307,-0.19362974502654737,73.35140010322223,68.71259754692426,71.03199882507325,-0.004263829578672218
PEP,2025-12-19,149.14999389648438,149.88999938964844,147.89999389648438,148.16000366210938,17543500,148.08149948120118,148.03600006103517,NA,50.582508677702435,0.5404017250363102,0.465929763389396,0.07447196164691422,151.9767558624701,144.18624309993226,148.08149948120118,-0.008100632621222403
AVGO,2025-12-19,333.3399963378906,343.45001220703125,332.5799865722656,340.3599853515625,159095200,374.363996887207,361.52319885253905,NA,41.40027070803253,-1.6317707312484053,0.5229021746386663,-2.1546729058870717,429.8464084359664,318.8815853384476,374.363996887207,0.0317690684904437
CVX,2025-12-19,147.9600067138672,149.00999450683594,147.19000244140625,147.75,21701400,149.81850051879883,152.3024005126953,NA,42.343563847320716,-0.8388474785642641,-0.7397757947343018,-0.09907168382996234,152.8156314744416,146.82136956315605,149.81850051879883,4.062398104269782e-4
COST,2025-12-19,856.57000732421875,858.45001220703125,849.32000732421875,855.6199951171875,10097600,888.2115051269532,910.3392004394532,NA,31.464361167066315,-1.6818081664348283,-1.3078292033212748,-0.3739789631135535,929.6424212338336,846.7805890200727,888.2115051269532,-0.0022971719313303884
MCD,2025-12-19,318.70001220703125,319.3299865722656,315.75,315.8399963378906,7128600,311.2820022583008,306.9381994628906,NA,56.74885137357606,1.0479004163479466,0.8208088995232323,0.2270915168247143,321.1266708143621,301.43733370223947,311.2820022583008,-0.01191927930969261
TMO,2025-12-19,561.67999267578125,569.8699951171875,558.92999267578125,567.83001708984375,3862600,577.2255065917968,567.5126025390625,NA,47.6226186198835,-0.08996605982392047,0.35719767301969346,-0.44716373284361394,597.4754101182889,556.9756030653048,577.2255065917968,0.009673006809708173
CRM,2025-12-19,260.67999267578125,262.0400085449219,255.5,259.9100036621094,20732100,247.78750305175782,247.23560180664063,NA,61.01164751158827,1.944131409430505,1.5164113115213727,0.42772009790913246,275.4744333477302,220.10057275578544,247.78750305175782,0.007989131316005205
NFLX,2025-12-19,93.56999969482422,95.54000091552734,93.44999694824219,94.38999938964844,78990200,100.11549949645996,108.29358016967774,NA,33.38117477914793,-4.435738240838393,-4.143692180787248,-0.2920460600511454,111.72190913624578,88.50908985667414,100.11549949645996,0.004148929677111113
ACN,2025-12-19,270,276.80999755859375,270,272.25,8375700,264.1304985046387,252.59639953613282,NA,61.95147300457006,2.4611370214712602,2.4143569355829118,0.04678008588834848,284.04055588820347,244.2204411210739,264.1304985046387,0.008482770104483839
LIN,2025-12-19,418.0299987792969,423.3900146484375,417.19000244140625,421.42999267578125,6048500,408.50500030517577,423.3706024169922,NA,56.215500147129134,-0.24104129307114253,-1.1385571844747908,0.8975158914036483,428.12587499506947,388.8841256152821,408.50500030517577,0.005823533970444883
DHR,2025-12-19,224.63999938964844,225.99000549316406,223.39999389648438,224.83999633789062,6318100,226.74150009155272,219.80059967041015,NA,51.44029584663523,0.7057538149646048,1.1274624343059996,-0.4217086193413948,231.76602141786185,221.7169787652436,226.74150009155272,0.0021840437755500375
TXN,2025-12-19,175.72000122070312,178.24000549316406,175.58999633789062,176.2899932861328,19091700,174.52249984741212,169.27100067138673,NA,55.06190539420696,1.6405721000332774,1.802660369525369,-0.16208826949209154,189.4332871768066,159.61171251801764,174.52249984741212,5.675171311709803e-4
NEE,2025-12-19,80.56999969482422,81.13999938964844,79.529998779296875,79.54000091552734,30492300,82.6520004272461,83.38300003051758,NA,37.20300325821913,-1.0175288333579058,-0.579715285999804,-0.43781354735810174,86.72706961988813,78.57693123460406,82.6520004272461,-0.01620281488333064
PM,2025-12-19,157.24000549316406,159.85000610351562,156.64999389648438,156.83999633789062,18081100,153.93499908447265,153.86859924316406,NA,55.73038666333933,0.4998148733033281,0.0064714794280647525,0.4933433938752633,161.234343866583,146.6356543023623,153.93499908447265,-0.0029877390375526724
MS,2025-12-19,173.4600067138672,177.6999969482422,173.4600067138672,176.97999572753906,10639400,172.9909996032715,166.40659912109376,NA,60.65314376228791,1.9117989538315783,2.134892881679642,-0.2230939278480637,184.82383677683237,161.15816242971061,172.9909996032715,0.023242303755932836
RTX,2025-12-19,178.9600067138672,183.24000549316406,178.66000366210938,182.00999450683594,11455900,174.23049926757812,173.07220001220702,NA,63.15942058739394,1.1481876996882079,0.6964058383560858,0.45178186133212206,182.83847578804716,165.6225227471091,174.23049926757812,0.02086489068813302
AMGN,2025-12-19,325.55999755859375,331.5,324.7300109863281,327.3800048828125,13465700,330.4870010375977,318.25120056152343,NA,51.93835694045984,0.09006109096387771,0.5293590054136862,-0.4392979144498085,350.78442037250653,310.1895817026888,330.4870010375977,0.009123948377301572
HON,2025-12-19,198.8300018310547,201.05999755859375,198.1699981689453,199.11000061035156,7866500,193.34000091552736,195.3337600708008,NA,59.20946514153893,0.47365292212135923,-0.06735925781568741,0.5410121799370466,199.96639391803527,186.71360791301944,193.34000091552736,0.005199913013810287
UPS,2025-12-19,101.11000061035156,102.19000244140625,100.12000274658203,101.91999816894531,17317500,97.57800064086913,93.69760055541992,NA,67.01113660170658,2.3317074300340357,2.0074766179778636,0.3242308120561721,103.18971449815277,91.9662867835855,97.57800064086913,-0.0015674339659024206
QCOM,2025-12-19,174.44000244140625,177.19000244140625,174.1999969482422,175.25,25223500,172.90499954223634,171.61879913330077,NA,52.753818299462246,0.9123364538839551,0.9614811896056392,-0.049144735721684096,184.10838658551614,161.70161249895654,172.90499954223634,0.006085295044130357
IBM,2025-12-19,300.3500061035156,306.8599853515625,299.1000061035156,300.9800109863281,11031000,305.6365005493164,300.4902008056641,NA,46.09759507332153,0.32506247576886693,0.739636199411846,-0.41457372364297906,313.5590208611177,297.7139802375151,305.6365005493164,0.001764016501126564
CAT,2025-12-19,572.69000244140625,581.72998046875,570.33001708984375,576.219970703125,5355600,584.140493774414,561.1317980957032,NA,50.01926216188839,1.1454733707380482,2.026354561463755,-0.8808811907257068,622.1272442264445,546.1537433223835,584.140493774414,0.0183623231349912
GE,2025-12-19,304.2300109863281,308.42999267578125,303.6400146484375,307.2099914550781,8856400,292.85900115966797,299.5834008789063,NA,59.4969253441016,0.14539443022676402,-0.558659363524096,0.70405379375086,305.7881743497333,279.9298279696026,292.85900115966797,0.018296890745473027
INTU,2025-12-19,667.79998779296875,675.5999755859375,665.44000244140625,671.29998779296875,4555500,656.2785003662109,658.247197265625,NA,54.929286101958425,0.5248440787435804,0.21910208269454617,0.30574199604903424,684.6682311776551,627.8887695547667,656.2785003662109,0.0036179627025632044
SPGI,2025-12-19,506.7099914550781,512.72998046875,506.1000061035156,512.5999755859375,2872700,497.77349548339845,492.32199829101563,NA,63.09664505545506,0.733707237031056,0.38878871460594233,0.34491852242511367,510.18057439733343,485.36641656946347,497.77349548339845,0.011623974719633168
AMD,2025-12-19,204.60000610351562,215.17999267578125,204.1999969482422,213.42999267578125,58445500,213.44949951171876,229.74299957275392,NA,47.50044638144751,-2.4508054165737203,-2.0331647340820362,-0.41764068249168407,227.27233331858392,199.6266657048536,213.44949951171876,0.06152389966871752
ISRG,2025-12-19,561.6300048828125,574.57000732421875,561.30999755859375,572.469970703125,4065300,564.0689971923828,538.5916033935547,NA,59.449725069641886,0.8385486169997014,1.1712101480494155,-0.3326615310497141,582.7245349735495,545.4134594112161,564.0689971923828,0.018829229526897917
BLK,2025-12-19,1066.949951171875,1068.56005859375,1057.75,1060.1700439453125,1174100,1060.2795043945312,1084.65740234375,NA,46.55218173737062,-0.03229423999177028,-0.18657092361936167,0.1542766836275914,1106.5162895376384,1014.0427192514239,1060.2795043945312,-0.004525813700842152
AAPL,2025-12-22,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,36571800,277.4880004882813,270.031799621582,NA,43.9957273389729,0.21017270750738337,0.7449460917648127,-0.5347733842574294,285.33331102243176,269.6426899541308,277.4880004882813,-0.009865941003960987
MSFT,2025-12-22,486.1199951171875,488.7300109863281,482.69000244140625,484.9200134277344,16963000,482.63600158691406,499.7502001953125,NA,47.824175277658895,-0.9226043641459292,-1.202428959537947,0.27982459539201776,494.07330886762,471.1986943062081,482.63600158691406,-0.002057951869374297
