symbol,fcf_sec,fcf_latest_sec,fcf_years_sec,ocf_sec,capex_sec,revenue_sec,gross_margin_sec,equity_sec,total_debt_sec,cash_sec,debt_equity_sec,rev_cagr_sec
LSCC,167320333.33333334,132580000,3,175107000,42527000,523262000,0.6821,787527000,NA,173305000,NA,-0.1575
KYMR,-192995000,-234340000,3,-232891000,1449000,39211000,NA,1509256000,NA,124477000,NA,-0.2937
U,289571333.3333333,403931000,3,422955000,19024000,1849648000,0.7417,3033890000,NA,2351987000,NA,-0.0804
QBTS,-60608333.333333336,-75844000,3,-71982000,3862000,24587000,0.8259,1083110000,34886000,296642000,0.0322,0.6755
VERA,-156543000,-241734000,3,-241104000,630000,NA,NA,407758000,75228000,48876000,0.1845,NA
IONQ,-171931000,-299604000,3,-283187000,16417000,130016000,NA,3327208000,NA,1235729000,NA,1.4287
TDUP,-35699000,-33063000,1,-22591000,10472000,310813000,0.7939,60748000,17722000,42169000,0.2917,0.0965
SOUN,-92433000,-99124000,3,-98222000,902000,NA,NA,490430000,NA,202776000,NA,NA
TSLA,4719333333.333333,6220000000,3,14747000000,8527000000,94827000000,0.1803,86858000000,7721000000,15219000000,0.0889,-0.0101
SNAP,230212333.33333334,437189000,3,656170000,218981000,5931447000,NA,1927088000,3381448000,958848000,1.7547,0.1348
CRNX,-263669333.33333334,-383684000,3,-377922000,5762000,1039000,NA,1191962000,NA,55498000,NA,0.3848
ARWR,-259353666.66666666,156886000,3,179552000,22666000,829448000,NA,465529000,NA,NA,NA,0.8562
ANAB,-79230666.66666667,19610000,3,19697000,87000,234603000,NA,12747000,NA,248469000,NA,2.6978
IONS,-399190666.6666667,-320027000,3,-268583000,51444000,943711000,NA,439737000,1760119000,350065000,4.0027,0.0946
RARE,-470666666.6666667,-472000000,3,-466000000,6000000,673000000,NA,-291000000,NA,125000000,NA,0.2453
NTRA,-35933333.333333336,109113000,3,215301000,106188000,2306113000,NA,1821499000,NA,NA,NA,0.4595
FROG,107407666.66666667,142269000,3,145729000,3460000,531840000,0.7679,960706000,NA,96692000,NA,0.2329
ETSY,702950666.6666666,678028000,3,693414000,15386000,2883501000,0.7164,-1395078000,2335911000,901281000,NA,0.0243
ZS,602868333.3333334,808201000,3,972453000,164252000,2673115000,0.7687,2598261000,NA,928354000,NA,0.2858
AMPL,23111666.666666668,28203000,3,29824000,1621000,343214000,0.7399,136198000,NA,73776000,NA,0.1146
ERAS,-102684000,-95583000,3,-95455000,128000,NA,NA,361869000,NA,42542000,NA,NA
TEAM,1224296333.3333333,1415543000,3,1460393000,44850000,5215304000,0.8284,1058442000,989560000,1239512000,0.9349,0.2147
DKNG,344147000,647503000,3,662855000,15352000,6054525000,NA,569428000,NA,983882000,NA,0.2852
NET,207633000,287497000,3,603114000,315617000,2167937000,0.7451,1620020000,NA,1663773000,NA,0.293
RGTI,-66194000,-77219000,3,-58543000,18676000,NA,NA,537434000,NA,27763000,NA,NA
RBLX,711854333.3333334,1355380000,3,1796358000,440978000,4890551000,NA,152000000,1009000000,991000000,6.6382,0.3218
INTA,70635000,121856000,3,123529000,1673000,504120000,0.7398,317603000,NA,162813000,NA,0.1986
ASAN,23424333.333333332,86569000,3,90361000,3792000,790806000,0.8903,104323000,NA,219562000,NA,0.1009
APPN,-19147666.666666668,59556000,3,62874000,3318000,726937000,0.7254,-105181000,236027000,121111000,NA,0.1545
MDB,245410666.66666666,500188000,3,505148000,4960000,2463797000,0.7175,2979981000,NA,1002401000,NA,0.2099
CRWD,1142264666.6666667,1310241000,3,1612349000,302108000,NA,NA,5101724000,746216000,5013847000,0.1463,NA
