symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret,spy_ret,daily_alpha
TSLA,2025-06-30,319.8999938964844,325.5799865722656,316.6000061035156,317.6600036621094,76695100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAC,2025-07-01,47.02000045776367,48.41999816894531,46.939998626708984,48.150001525878906,48540900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017540190963810876,-3.2362414789344207e-4,0.017863815111704318
ACN,2025-07-01,298.1199951171875,304.19000244140625,297.92999267578125,302.6199951171875,3565600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012479441553567172,-3.2362414789344207e-4,0.012803065701460614
INTU,2025-07-01,788.70001220703125,790.5999755859375,765.80999755859375,779.6099853515625,1923800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010182470806763155,-3.2362414789344207e-4,-0.009858846658869713
JPM,2025-07-01,290.8900146484375,291.1300048828125,286.5899963378906,290.4100036621094,9338300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017246731526476822,-3.2362414789344207e-4,0.0020482973005411242
MSFT,2025-07-01,496.4700012207031,498.04998779296875,490.9800109863281,492.04998779296875,19945400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01077585056528474,-3.2362414789344207e-4,-0.010452226417391297
META,2025-07-01,736.8800048828125,737.75,715.3699951171875,719.219970703125,13431200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02556606303534137,-3.2362414789344207e-4,-0.025242438887447927
NFLX,2025-07-01,133.822998046875,133.8769989013672,128.2220001220703,129.36000061035156,49936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0339996412994259,-3.2362414789344207e-4,-0.033676017151532456
PG,2025-07-01,159.8800048828125,162.52999877929688,159.3800048828125,161.22000122070312,10664900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011925645299638132,-3.2362414789344207e-4,0.012249269447531574
GOOGL,2025-07-01,175.74000549316406,176.08999633789062,173.52999877929688,175.83999633789062,35904500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002213013670223307,-3.2362414789344207e-4,-0.0018893895223298651
IBM,2025-07-01,294.54998779296875,295.1099853515625,290.0799865722656,291.20001220703125,3272800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012144604746219478,-3.2362414789344207e-4,-0.011820980598326036
