date,symbol,news_sentiment,news_articles,wsb_mentions,wsb_rank,wsb_rank_chg,st_bullish,st_bearish,st_watchers,st_bull_ratio
2026-08-21,INTC,NA,NA,14,32,3,NA,NA,NA,NA
2026-08-22,INTC,NA,NA,3,36,13,NA,NA,NA,NA
2026-08-22,IQ,NA,NA,3,42,19,NA,NA,NA,NA
2026-08-21,IQV,0.004379,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,IREN,NA,NA,20,24,31,NA,NA,NA,NA
2026-08-22,IREN,NA,NA,18,12,19,NA,NA,NA,NA
2026-08-21,IT,0.265248,1,12,34,6,NA,NA,NA,NA
2026-08-22,IT,NA,NA,3,40,0,NA,NA,NA,NA
2026-08-21,JASMY.X,NA,NA,NA,NA,NA,0,0,25246,NA
2026-08-22,JASMY.X,NA,NA,NA,NA,NA,0,0,25251,NA
2026-08-22,JUST,NA,NA,3,47,377,NA,NA,NA,NA
2026-08-21,KEEL,NA,NA,10,39,83,NA,NA,NA,NA
2026-08-21,KHC,0.361337,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,KTA.X,NA,NA,NA,NA,NA,0,0,2514,NA
2026-08-21,LH,-0.104199,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,LII,0.177689,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,LNT,0.413464,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,MEGX,0.064565,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,META,NA,NA,68,9,2,NA,NA,NA,NA
2026-08-22,META,NA,NA,13,14,-7,NA,NA,NA,NA
2026-08-21,MO,-0.165307,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,MO,NA,NA,3,37,129,NA,NA,NA,NA
2026-08-21,MOS,0.375445,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,MRNA,NA,NA,125,4,-3,NA,NA,NA,NA
2026-08-22,MRNA,NA,NA,38,3,-1,NA,NA,NA,NA
2026-08-21,MRVL,NA,NA,20,23,10,NA,NA,NA,NA
2026-08-22,MRVL,NA,NA,8,21,7,NA,NA,NA,NA
2026-08-21,MSCI,0.230099,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,MSFT,NA,NA,15,31,-1,NA,NA,NA,NA
2026-08-22,MSFT,NA,NA,4,29,-7,NA,NA,NA,NA
