symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,company,sector,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score
AMKR,47.3,96.68,23.17,2026-08-29,SEMICONDUCTOR EQUIPMENT & MATERIALS,11868136000,21.47,24.15,2.764,2.23,2.23,0.125,0.0462,0.0745,0.105,7457680000,30.14,1323916000,9.29,2.182,0.256,2.247,77.11,2,3,5,0,0,247873000,0.0064,0.76,1.734,18.75,Amkor Technology Inc,TECHNOLOGY,60,75,65,40,10,67.5,0.6302325581395349,62.25
ARHS,8.71,11.51,5.57,2026-08-29,SPECIALTY RETAIL,1246968000,17.62,15.22,3.051,0.5,0.5,0.173,0.0313,0.0491,0.0792,1408588000,9.99,118327000,8.73,0.124,0.074,2.304,10.5,1,4,10,0,0,54424000,0,NA,1.17,2.928,Arhaus Inc,CONSUMER CYCLICAL,75,60,65,40,15,60,0.2055109070034442,62.25
HALO,106.49,109.66,61.23,2026-09-01,BIOTECHNOLOGY,11957015000,31.35,14.51,84.52,3.36,3.36,1.737,0.255,0.249,0.598,1663738000,14.15,1050688000,19.55,0.429,0.477,0.848,99.56,2,4,3,0,0,113498000,NA,-2.5,8.44,1.259,Halozyme Therapeutics Inc,HEALTHCARE,45,20,95,75,9,72.2,-0.06507653300779409,62.22
BLK,1155.61,1200.54,912.25,2026-08-24,ASSET MANAGEMENT,187911848000,27.7,20.62,3.109,41.75,41.75,0.123,0.0374,0.241,0.351,27299000000,175.98,11116000000,16.11,0.196,0.306,1.425,1320.81,5,10,2,0,0,154869000,0.0192,1.115,6.6,371.7,BlackRock Inc,FINANCIAL SERVICES,45,60,65,75,17,79.4,0.14295480309100828,61.94
JNJ,265.85,275.11,169.49,2026-08-25,DRUG MANUFACTURERS - GENERAL,657998676000,31.35,23.2,7.66,8.71,8.71,0.257,0.086,0.215,0.292,97929003000,40.67,34872001000,20.01,-0.009,0.066,0.231,272.5,5,11,6,1,0,2409899000,0.0194,4.734,6.94,35.28,Johnson & Johnson,HEALTHCARE,45,40,80,75,23,71.7,0.025014105698702188,61.67
TWLO,235.63,258.35,98.44,2026-08-28,SOFTWARE - INFRASTRUCTURE,35085795000,30.96,37.45,3.831,7.38,7.38,0.135,0.0206,0.206,0.0783,5572328000,36.51,499808000,65.7,46.72,0.22,1.383,252.08,6,20,4,0,2,153575000,NA,0.388,5.89,58.46,Twilio Inc,TECHNOLOGY,45,60,65,75,32,71.9,0.06981284216780553,61.19
AMGN,429.88,440.62,262.49,2026-08-24,DRUG MANUFACTURERS - GENERAL,237515850000,27.32,19.61,20.32,16.08,16.08,0.915,0.0867,0.23,0.355,38095000000,70.68,17268001000,15.94,0.649,0.095,0.413,388.48,4,10,17,2,1,540632000,0.0227,2.306,7.37,21.62,Amgen Inc,HEALTHCARE,45,20,95,75,34,60.3,-0.09630594584535214,61.03
GGG,77.43,94.99,72.22,2026-08-20,SPECIALTY INDUSTRIAL MACHINERY,13119879000,25.64,24.94,5.2,3.16,3.16,0.212,0.127,0.235,0.297,2267210000,13.73,734998000,16.59,0.145,0.033,0.916,91.29,2,1,8,0,0,161954000,0.0142,2.61,5.59,15.58,Graco Inc,INDUSTRIALS,45,40,80,75,11,61.4,0.17900038744672606,60.64
CRM,257.54,267.75,146.32,2026-08-24,SOFTWARE - APPLICATION,161727939000,24.21,15.36,5,8.64,8.64,0.169,0.057,0.187,0.218,42829001000,46.2,12895000000,14.71,0.522,0.133,1.152,243.98,5,34,13,0,2,819000000,0.0082,0.868,4.701,41.8,Salesforce.com Inc,TECHNOLOGY,60,40,65,75,54,68.5,-0.05265201522093667,60.6
ANET,195.69,214.89,114.52,2026-08-27,COMPUTER HARDWARE,240818242000,59.48,45.87,16.04,3.21,3.21,0.315,0.141,0.384,0.454,10540800000,8.38,4639600000,48.27,0.357,0.377,1.615,241.82,7,22,1,0,0,1261225000,NA,1.779,21.25,11.73,Arista Networks,TECHNOLOGY,25,20,95,90,30,80,0.2357299810925443,60.25
AVGO,370.34,494.18,285.06,2026-08-24,SEMICONDUCTORS,1752930451000,61.31,19.72,19.99,6.01,6.01,0.373,0.121,0.389,0.49,75464999000,15.94,42084000000,42.43,0.854,0.479,1.473,526.3,7,37,4,0,0,4757580000,0.007,0.414,23.83,18.43,Broadcom Inc,TECHNOLOGY,25,20,95,90,48,76.6,0.4211265323756548,59.91
LLY,1156.73,1292.65,707.59,2026-08-25,DRUG MANUFACTURERS - GENERAL,1111459889000,42.2,34.6,33.03,29.55,29.55,1.023,0.204,0.335,0.542,79666004000,89.02,41707000000,27.93,0.262,0.477,0.506,1315.04,5,17,4,1,1,891357000,0.0051,1.579,14.62,38,Eli Lilly and Company,HEALTHCARE,25,20,95,90,28,71.4,0.13685994138649463,59.39
FIVE,246.84,263.88,137.77,2026-08-30,SPECIALTY RETAIL,13375393000,30.5,25.38,5.91,7.93,7.93,0.211,0.0737,0.0867,0.12,5079222000,92.07,757477000,19.2,1.956,0.325,0.975,272.48,2,15,8,0,0,55295000,NA,0.984,2.864,41.82,Five Below Inc,CONSUMER CYCLICAL,45,40,80,60,25,69,0.10387295414033387,59.15
TER,349.83,487.91,109.39,2026-08-28,SEMICONDUCTOR EQUIPMENT & MATERIALS,56767328000,49.81,39.22,16.67,7.29,7.29,0.365,0.198,0.258,0.332,4464031000,28.44,1504894000,38.25,3.858,1.039,1.793,446.47,1,12,3,0,1,156341000,0.0014,0.933,12.78,20.08,Teradyne Inc,TECHNOLOGY,25,20,95,90,17,67.6,0.27624846353943355,59.01
KRYS,359.36,382.54,136.73,2026-09-01,BIOTECHNOLOGY,10402807000,44.83,43.1,7.79,7.84,7.84,0.201,0.0937,0.548,0.49,440484000,15.08,199293000,47.69,0.388,0.241,0.536,385,0,9,1,0,0,29598800,NA,NA,22.13,43.37,Krystal Biotech Inc,HEALTHCARE,25,40,80,90,10,72.5,0.07134906500445232,59
TMO,617.1,647,434.83,2026-08-27,DIAGNOSTICS & RESEARCH,232256766000,33.79,25,4.413,18.59,18.59,0.135,0.0513,0.15,0.188,46336000000,123.89,11739000000,22.49,0.094,0.105,0.847,631.42,3,19,6,0,0,369747000,0.0029,2.051,5.85,142.47,Thermo Fisher Scientific Inc,HEALTHCARE,45,60,65,60,28,72.3,0.023205315183924706,58.98
GRMN,284.11,314.28,184.35,2026-08-27,SCIENTIFIC & TECHNICAL INSTRUMENTS,55628317000,30.02,29.15,6.22,9.61,9.61,0.219,0.122,0.245,0.304,7671438000,39.84,2311467000,23.22,0.353,0.114,0.874,290.29,0,2,4,0,2,192853000,0.0144,3.552,7,46.8,Garmin Ltd,TECHNOLOGY,45,40,80,75,8,43.8,0.0217521382563092,58.88
AAPL,316.85,344.27,223.86,2026-08-24,CONSUMER ELECTRONICS,4514709504000,35.48,32.47,41.99,8.72,8.72,1.488,0.271,0.276,0.326,466822988000,31.71,167959003000,27.01,0.287,0.164,1.086,324.45,6,22,14,2,2,14594180000,0.0034,2.494,9.72,7.36,Apple Inc.,TECHNOLOGY,25,20,95,90,46,65.2,0.02398611330282457,58.77
TXN,260.91,332.33,150.2,2026-08-27,SEMICONDUCTORS,237490045000,39.34,32.36,13.13,6.61,6.61,0.352,0.131,0.311,0.426,19453000000,21.38,9520000000,25.17,0.518,0.228,1.325,323.68,2,16,16,2,0,913248000,0.0217,1.142,12.52,19.72,Texas Instruments Incorporated,TECHNOLOGY,25,20,95,90,36,62.5,0.24058104327162613,58.5
HUBB,453,562.06,398.95,2026-09-01,ELECTRICAL EQUIPMENT & PARTS,24285020000,27.86,23.09,6.35,16.5,16.5,0.244,0.0843,0.145,0.217,6223600000,117.43,1515500000,20.44,-0.009,0.153,0.899,564.82,0,6,6,0,0,52833000,0.0119,2.18,4.822,74.04,Hubbell Inc,INDUSTRIALS,45,40,80,60,12,62.5,0.24684326710816787,58.5
IESC,303,816.51,323.64,2026-08-20,ENGINEERING & CONSTRUCTION,13894847000,32.82,208.33,11.97,21.25,21.25,0.445,0.165,0.114,0.144,3985742000,200.31,551440000,22.55,0.987,0.396,1.816,850,0,0,1,0,0,19924400,NA,0,3.615,61.7,IES Holdings Inc,INDUSTRIALS,45,20,95,60,1,50,1.8052805280528053,57.75
ALNY,240.69,495.55,197.81,2026-08-27,BIOTECHNOLOGY,32124893000,41.18,27.17,23.32,5.83,5.83,0.966,0.123,0.161,0.179,4804182000,36.24,1054538000,26.73,0,0.669,0.279,370.2,8,14,6,0,0,133809000,NA,0.448,6.15,10.12,Alnylam Pharmaceuticals Inc,HEALTHCARE,25,20,95,75,28,76.8,0.5380780256761809,57.68
FTNT,170.93,172.09,73.55,2026-08-27,SOFTWARE - INFRASTRUCTURE,112742441000,53.73,49.02,71.9,2.86,2.86,1.174,0.142,0.282,0.336,7527400000,10.14,2595800000,38.56,0.439,0.256,1.058,160.86,1,10,29,3,1,733714000,NA,2.086,14.34,2.114,Fortinet Inc,TECHNOLOGY,25,20,95,90,44,54,-0.05891300532381673,57.65
ALRM,57.56,58.2,41.49,2026-08-29,SOFTWARE - APPLICATION,2827597000,25.49,26.25,3.22,2.26,2.26,0.133,0.0499,0.111,0.151,1060984000,21.36,167716000,13.2,-0.234,0.092,0.759,63,1,2,2,0,1,49090200,NA,1.406,2.707,17.63,Alarm.com Holdings Inc,TECHNOLOGY,45,60,65,60,6,58.3,0.09451007644197355,57.58
DOCN,110.69,187.5,30.89,2026-08-30,SOFTWARE - INFRASTRUCTURE,13076022000,55.33,101.01,15.37,2.01,2.01,0.623,0.0386,0.233,0.104,1011113000,10.63,308634000,39.86,-0.245,0.286,1.586,175.2,3,10,3,0,0,117580000,NA,1.538,14.9,8.86,DigitalOcean Holdings Inc,TECHNOLOGY,25,20,95,75,16,75,0.5827988074803505,57.5
GE,335.71,388.84,266.07,2026-08-24,AEROSPACE & DEFENSE,361455649000,41.13,44.44,20.49,8.47,8.47,0.482,0.0507,0.177,0.206,50639000000,48.27,11483000000,29.66,0.194,0.211,1.366,404.9,3,16,2,0,1,1037563000,0.0048,5.12,7.33,17,GE Aerospace,INDUSTRIALS,25,20,95,75,22,72.7,0.20610050341068184,57.27
