symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
FIVE,2450975,1921170,1.82,2026-09-15,NA,0.04,finra,55054000,shares outstanding,Increasing,0,FALSE,44.27,3.65,0,20,14.8,1,14.8,No Signal,4.5%
TXRH,1892223,1979269,1.98,2026-09-15,NA,0.03,finra,65641000,shares outstanding,Stable,0,FALSE,31.25,4.69,0,40,14.75,1,14.75,No Signal,2.9%
GOOGL,87393404,77698668,3.5,2026-09-15,NA,0.01,finra,5867156000,shares outstanding,Increasing,0,FALSE,15.62,39.06,0,20,14.72,1,14.72,No Signal,1.5%
MCD,12196481,12284728,2.79,2026-09-15,NA,0.02,finra,707642000,shares outstanding,Stable,0,FALSE,18.23,19.79,0,40,14.52,1,14.52,No Signal,1.7%
PEP,25853939,21279663,3.21,2026-09-15,NA,0.02,finra,1366000000,shares outstanding,Increasing,0,FALSE,20.31,31.77,0,20,14.43,1,14.43,No Signal,1.9%
RTX,13642843,12341124,3.8,2026-09-15,NA,0.01,finra,1347758000,shares outstanding,Increasing,0,FALSE,5.73,47.4,0,20,13.91,1,13.91,No Signal,1%
MS,14693087,14854574,3.23,2026-09-15,NA,0.01,finra,1570566000,shares outstanding,Stable,0,FALSE,4.17,32.81,0,40,13.6,1,13.6,No Signal,0.9%
AMD,39975696,41712630,2.13,2026-09-15,NA,0.02,finra,1632475000,shares outstanding,Stable,0,FALSE,25.52,5.21,0,40,13.42,1,13.42,No Signal,2.4%
LLY,7519918,7894476,3.41,2026-09-15,NA,0.01,finra,891741000,shares outstanding,Stable,0,FALSE,1.04,35.42,0,40,13.34,1,13.34,No Signal,0.8%
HON,7412135,6445823,2.83,2026-09-15,NA,0.02,finra,316940000,shares outstanding,Increasing,0,FALSE,23.44,21.88,0,20,13.23,1,13.23,No Signal,2.3%
CRWD,27929552,24353332,2.42,2026-09-15,NA,0.03,finra,1023935000,shares outstanding,Increasing,0,FALSE,30.21,10.42,0,20,12.64,1,12.64,No Signal,2.7%
XOM,39711328,39700806,2.99,2026-09-15,NA,0.01,finra,4111912000,shares outstanding,Stable,0,FALSE,5.21,26.04,0,40,12.51,1,12.51,No Signal,1%
LIN,5869016,5392480,3.22,2026-09-15,NA,0.01,finra,460980000,shares outstanding,Increasing,0,FALSE,11.98,32.29,0,20,12.45,1,12.45,No Signal,1.3%
NVDA,294225803,298301619,2.55,2026-09-15,NA,0.01,finra,24147000000,shares outstanding,Stable,0,FALSE,11.46,13.54,0,40,11.57,1,11.57,No Signal,1.2%
NET,7703439,6794677,2.44,2026-09-15,NA,0.02,finra,322619000,shares outstanding,Increasing,0,FALSE,24.48,10.94,0,20,11.31,1,11.31,No Signal,2.4%
KO,40584069,39287289,2.79,2026-09-15,NA,0.01,finra,4302549000,shares outstanding,Stable,0,FALSE,4.69,19.79,0,40,11.13,1,11.13,No Signal,0.9%
CVX,20765075,20585159,2.61,2026-09-15,NA,0.01,finra,1961603000,shares outstanding,Stable,0,FALSE,7.81,15.1,0,40,10.97,1,10.97,No Signal,1.1%
BAC,83249868,82250230,2.39,2026-09-15,NA,0.01,finra,6992748000,shares outstanding,Stable,0,FALSE,10.94,9.9,0,40,10.71,1,10.71,No Signal,1.2%
AVGO,51922175,50451889,1.7,2026-09-15,NA,0.01,finra,4773630000,shares outstanding,Stable,0,FALSE,9.38,2.6,0,40,8.86,1,8.86,No Signal,1.1%
HD,10572996,8879597,2.76,2026-09-15,NA,0.01,finra,997690000,shares outstanding,Increasing,0,FALSE,8.33,18.23,0,20,8.73,1,8.73,No Signal,1.1%
ORCL,50840436,44597874,1.36,2026-09-15,NA,0.02,finra,3023736000,shares outstanding,Increasing,0,FALSE,17.71,0.52,0,20,7.53,1,7.53,No Signal,1.7%
META,30990107,28807174,1.57,2026-09-15,NA,0.01,finra,2205129000,shares outstanding,Increasing,0,FALSE,14.58,2.08,0,20,7.06,1,7.06,No Signal,1.4%
