symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
HUBS,2026-08-16,HubSpot Inc,TECHNOLOGY,SOFTWARE - APPLICATION,11473885000,80.05,16.81,6.5,2.8,2.8,0.0789,0.0236,0.0426,0.0487,3448998000,66.32,156663000,29.01,9.68,0.198,1.169,243.36,8,16,10,0,1,51191000,NA,0.34,2.802,39.32,525.51,169.63
IBKR,2026-08-16,Interactive Brokers Group Inc,FINANCIAL SERVICES,CAPITAL MARKETS,156853256000,36.53,33.67,7.06,2.52,2.52,0.24,0.0228,0.165,0.765,6835000000,15.33,NA,3.428,0.353,0.263,1.343,106.13,2,7,2,0,1,453078000,0.0036,1.769,3.068,13.1,97.84,58.76
IBM,2026-08-13,International Business Machines,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,222324867000,21.18,19.12,6.46,11.14,11.14,0.345,0.053,0.155,0.166,69094998000,73.7,16473000000,15.92,-0.018,0.011,0.705,244.16,3,11,9,1,1,942134000,0.0282,2.405,4.049,36.57,330.09,197.77
IDYA,2026-08-07,Ideaya Biosciences Inc,HEALTHCARE,BIOTECHNOLOGY,3488999000,NA,4.649,3.643,-1.93,-1.93,-0.162,-0.115,-0.748,-13.81,234127000,2.617,-214195008,-7.8,0,0.554,-0.091,53.46,3,11,1,0,0,96275000,NA,NA,12.31,10.67,40.58,22.38
IESC,2026-08-07,IES Holdings Inc,INDUSTRIALS,ENGINEERING & CONSTRUCTION,15310473000,34.15,208.33,12.32,22.5,22.5,0.445,0.165,0.114,0.144,3985742000,200.31,551440000,23.22,0.987,0.396,1.816,700,0,0,1,0,0,19924400,NA,0,3.723,61.7,811.85,309.51
INCY,2026-08-16,Incyte Corporation,HEALTHCARE,BIOTECHNOLOGY,24356162000,15.31,38.61,3.839,7.85,7.85,0.307,0.168,0.277,0.419,5819530000,29.36,1942313000,9.6,0.377,0.377,0.769,125.17,2,9,15,1,0,202698000,NA,28.62,3.412,31.57,132.6,81.09
INTA,2026-08-07,Intapp Inc,TECHNOLOGY,SOFTWARE - APPLICATION,2801959000,NA,21.51,7.87,-0.51,-0.51,-0.0987,-0.0166,-0.0715,0.0094,577805000,7.26,-4182000,-56.63,0,0.13,0.409,38.43,1,3,4,0,1,77062000,NA,0.615,4.259,4.161,47.93,19.01
INTU,2026-08-13,Intuit Inc,TECHNOLOGY,SOFTWARE - APPLICATION,91555561000,20.43,12.29,4.434,16.38,16.38,0.225,0.0947,0.219,0.47,20925000000,75.14,6410000000,12.99,0.107,0.104,0.959,455.38,5,20,8,1,1,273537000,0.0138,0.868,4.298,75.22,713.52,251.72
IONQ,2026-08-07,IONQ Inc,TECHNOLOGY,COMPUTER HARDWARE,14826283000,101.85,NA,2.733,0.39,0.39,0.113,-0.128,1.749,-4.018,187118000,0.598,-662371008,-10.33,0,7.55,3.301,67.68,1,10,2,0,0,373270000,NA,NA,61.99,13.33,84.64,25.89
IONS,2026-08-07,Ionis Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,9005528000,NA,96.15,20.81,-3.48,-3.48,-1.055,-0.124,-0.647,-0.382,874093000,5.36,-579484992,135.77,-0.437,-0.407,0.4,89.33,9,10,4,0,0,166184000,NA,27.33,9.97,2.655,86.74,40.37
ISRG,2026-08-14,Intuitive Surgical Inc,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,143766225000,46.07,36.5,7.65,8.71,8.71,0.174,0.105,0.284,0.336,11034400000,31.07,4180800000,31.51,0.265,0.185,1.46,477.25,7,16,9,1,0,358278000,NA,1.929,12.12,51.34,603.88,328.57
JAZZ,2026-08-16,Jazz Pharmaceuticals PLC,HEALTHCARE,BIOTECHNOLOGY,15901475000,16.78,18.52,3.312,14.6,14.6,0.221,0.0686,0.204,0.269,4601286000,74.6,1927067000,11.2,0.032,0.155,0.364,281.35,7,11,1,0,1,64915000,NA,0.958,3.936,74.1,265.05,117.1
JBSS,2026-08-07,John B Sanfilippo & Son Inc,CONSUMER DEFENSIVE,PACKAGED FOODS,975729000,14.88,12.84,2.542,5.61,5.61,0.183,0.0939,0.0576,0.081,1164315000,99.62,121456000,8.56,-0.169,0.08,0.336,102,1,0,0,0,0,9092100,0.0106,1.518,0.93,33.16,92.08,57.19
