symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
NVDA,2026-08-14,NVIDIA Corporation,TECHNOLOGY,SEMICONDUCTORS,5427683656000,34.37,24.81,26.96,6.52,6.52,1.143,0.527,0.63,0.656,253491003000,10.42,165514002000,26.95,2.145,0.852,2.215,302.83,10,48,2,1,0,24221000000,2e-4,0.599,20.52,8.07,236.26,163.85
OKTA,2026-08-16,Okta Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,25624418000,106.06,39.22,3.787,1.39,1.39,0.0367,0.0114,0.0824,0.0732,2996000000,16.99,267000000,65.44,0.212,0.112,0.762,130.83,8,25,10,0,1,166120000,NA,1.427,7.99,39.34,157,62.66
OLLI,2026-08-07,Ollie's Bargain Outlet Hldg,CONSUMER DEFENSIVE,DISCOUNT STORES,4739538000,19.41,17.04,2.35,4.04,4.04,0.138,0.0682,0.0913,0.106,2731359000,44.62,368434000,12.46,0.195,0.142,0.499,107.07,4,9,2,0,0,60453000,NA,2.08,1.795,31.16,140.54,60.29
OLMA,2026-08-07,Olema Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,1030700000,NA,NA,2.082,-2.07,-2.07,-0.429,-0.255,0,0,0,0,-191330000,-3.326,0,0,2.009,40.7,2,9,1,0,0,87347000,NA,NA,NA,5.5,36.26,4.47
ON,2026-08-07,ON Semiconductor Corporation,TECHNOLOGY,SEMICONDUCTORS,19197297000,58.96,26.04,2.659,1.37,1.37,0.0831,0.0777,0.102,0.161,6197800000,15.57,2444400000,12.64,0.366,0.092,2.016,111.54,1,10,18,0,0,237649000,NA,0.267,3.197,18.63,134.92,44.56
ONON,2026-08-07,On Holding Ltd,CONSUMER CYCLICAL,FOOTWEAR & ACCESSORIES,12729862000,41.51,22.83,5.55,0.92,0.92,0.155,0.0968,0.0802,0.141,3119300000,9.44,467500000,22.08,0.811,0.145,2.119,52.35,6,18,3,1,0,300831000,NA,0.711,2.946,6.6,52.2,31.41
ORCL,2026-08-14,Oracle Corporation,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,449987183000,26.3,18.69,11.59,5.94,5.94,0.534,0.0651,0.254,0.362,67357000000,23.55,30493999000,16.87,0.219,0.206,1.718,247.17,8,29,6,1,0,2880471000,0.013,0.854,8.38,13.04,341.82,114.5
ORN,2026-08-07,Orion Group Holdings Inc,INDUSTRIALS,ENGINEERING & CONSTRUCTION,409812000,126.5,38.91,2.546,0.08,0.08,0.0227,0.0107,0.004,-0.0066,896500000,22.37,32971000,15.79,-0.333,0.081,1.401,15.32,1,5,0,0,0,40495300,NA,28.96,0.645,4.061,17.4,6.44
PANW,2026-08-17,Palo Alto Networks Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,313180029000,334.15,93.46,11.32,1.15,1.15,0.0483,0.0177,0.0795,-0.0247,10606500000,14.83,1483500000,156.54,0.605,0.311,0.893,347.17,11,34,9,1,0,815000000,NA,4.258,29.43,34.03,398.88,139.57
PD,2026-08-07,Pagerduty Inc,TECHNOLOGY,SOFTWARE - APPLICATION,865315000,5.45,8.14,3.768,2.06,2.06,0.946,0.0182,0.386,0.0787,493708000,5.61,39403000,14,0,0.01,0.921,9.43,0,3,5,0,1,77123000,NA,NA,1.589,2.825,17.29,5.7
PEP,2026-08-14,PepsiCo Inc,CONSUMER DEFENSIVE,BEVERAGES - NON-ALCOHOLIC,192086917000,18.19,16.1,8.51,7.73,7.73,0.515,0.0893,0.108,0.168,96904004000,70.89,18882001000,12.37,1.37,0.064,0.361,155,4,4,15,1,0,1366000000,0.0414,1.492,2.378,16.18,168.19,133.4
PG,2026-08-14,Procter & Gamble Company,CONSUMER DEFENSIVE,HOUSEHOLD & PERSONAL PRODUCTS,335923675000,21.82,20.96,6.38,6.61,6.61,0.303,0.107,0.184,0.221,87031996000,37.29,24752001000,15,-0.155,0.015,0.377,160.57,6,8,11,0,0,2328599000,0.0296,4.196,4.208,22.95,164.77,134.62
PINS,2026-08-17,Pinterest Inc,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,13625491000,70.76,12.59,4.708,0.34,0.34,0.0646,0.0351,0.0546,-0.0346,4555720000,7.16,316556000,42.41,-0.846,0.182,0.908,28.97,2,17,20,0,0,492198000,NA,0.374,2.974,5.12,38.57,13.84
PLNT,2026-08-07,Planet Fitness Inc,CONSUMER CYCLICAL,LEISURE,4495667000,20.43,17.42,139.36,2.77,2.77,0,0.0837,0.178,0.325,1287453000,15.63,572584000,11.5,0.302,0.197,1.025,67.36,3,9,7,0,0,79127000,NA,0.917,4.937,-6.09,114.26,37.03
PM,2026-08-14,Philip Morris International Inc,CONSUMER DEFENSIVE,TOBACCO,294437650000,25.56,22.03,1318.7,7.39,7.39,0,0.146,0.256,0.4,42545000000,27.32,18015001000,17.79,-0.075,0.104,0.4,203.8,4,7,4,0,0,1558613000,0.0316,2.422,7.83,-5.51,207.76,138.43
PRIM,2026-08-07,Primoris Services Corporation,INDUSTRIALS,ENGINEERING & CONSTRUCTION,4352331000,32.74,43.48,2.927,2.45,2.45,0.0889,0.0301,0.0192,-0.0142,7284200000,134.64,323100000,11.91,-0.605,-0.107,1.468,127.5,3,8,4,0,0,54255000,0.0038,1.217,0.734,31.05,205.33,64.95
PRPL,2026-08-07,Purple Innovation Inc,CONSUMER CYCLICAL,"FURNISHINGS, FIXTURES & APPLIANCES",39307800,NA,285.71,1.736,-14.5,-14.5,-102.71,-0.0793,-0.137,-0.176,460284000,106.27,-17927000,163.87,-0.602,-0.081,1.468,20.5,0,1,3,0,0,4353000,NA,3.696,0.481,-13.84,31.5,6.12
PTGX,2026-08-07,Protagonist Therapeutics Inc,HEALTHCARE,BIOTECHNOLOGY,8831238000,NA,28.9,13.4,-1.81,-1.81,-0.171,-0.124,-1.549,-0.0647,74063000,1.155,-141016992,244.64,3.513,0.99,1.794,136.31,3,9,1,0,0,64311000,NA,0,111.36,10.21,148,50.58
QBTS,2026-08-07,D-Wave Quantum Inc. Common Stock,TECHNOLOGY,COMPUTER HARDWARE,7188489000,NA,NA,5.96,-1.14,-1.14,-0.553,-0.118,0,-19.15,12444000,0.036,-138814000,-2.065,0,-0.809,2.164,36.65,1,14,1,0,0,367269000,NA,NA,494.7,3.038,46.75,12.75
QCOM,2026-08-14,Qualcomm Incorporated,TECHNOLOGY,SEMICONDUCTORS,173029491000,18.81,15.58,6.16,8.76,8.76,0.338,0.116,0.21,0.185,44068999000,41.28,11999000000,13.15,-0.23,-0.04,1.663,194.77,2,9,23,1,2,1050000000,0.022,0.699,4.022,26.17,258.96,121.54
QRVO,2026-08-17,Qorvo Inc,TECHNOLOGY,SEMICONDUCTORS,8655425000,22.76,12.64,2.493,4.31,4.31,0.116,0.0671,0.11,0.158,3644534000,39.89,885481000,11.34,2.556,-0.042,1.449,90.77,1,2,16,1,0,88222000,NA,0.903,2.435,39.36,109.49,74.92
RARE,2026-08-07,Ultragenyx,HEALTHCARE,BIOTECHNOLOGY,2545565000,NA,NA,247.7,-6.04,-6.04,-6.08,-0.255,-0.817,-0.35,717000000,7.13,-494619008,-6.46,0,0.285,0.313,52.95,5,12,2,0,0,98589000,NA,-0.24,2.7,-2.408,39.89,18.29
RBLX,2026-08-07,Roblox Corp,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,25853264000,NA,192.31,167.31,-1.38,-1.38,-4.323,-0.0773,-0.176,-0.133,5685551000,8.04,-843521984,-24.79,0,0.359,1.457,51.32,5,15,12,2,0,669993000,NA,8.18,4.266,0.213,142,33.88
RGTI,2026-08-07,Rigetti Computing Inc,TECHNOLOGY,COMPUTER HARDWARE,5577652000,NA,NA,8.52,-0.86,-0.86,-0.571,-0.121,0,-5.9,10016000,0.031,-80024000,1.29,0,1.989,2.022,29.65,1,8,4,0,0,332399000,NA,NA,455.06,1.756,58.15,12.53
RJF,2026-08-17,Raymond James Financial Inc.,FINANCIAL SERVICES,ASSET MANAGEMENT,34733601000,15.78,12.87,2.739,11.46,11.46,0.184,0.0258,0.151,0.193,15239999000,77.55,NA,NA,0.42,0.151,0.92,185.92,3,3,8,0,0,192100000,0.0117,0.887,2.617,66.1,182.73,138.33
ROAD,2026-08-07,Construction Partners Inc,INDUSTRIALS,ENGINEERING & CONSTRUCTION,5662520000,43.74,26.53,5.97,2.29,2.29,0.142,0.0621,0.039,0.0476,3257791000,58.67,478505000,17.21,1.097,0.346,0.901,145,0,5,1,0,0,47985600,NA,1.567,2.337,17.33,151,93.42
ROKU,2026-08-17,Roku Inc,COMMUNICATION SERVICES,ENTERTAINMENT,23402703000,66.53,58.48,8.29,2.37,2.37,0.131,0.0425,0.0682,0.122,5209110000,35.26,578996000,29.17,14.43,0.219,2.044,162.45,1,9,15,0,1,132051000,NA,0.895,4.093,19.03,157.86,78.53
RTX,2026-08-15,RTX Corporation,INDUSTRIALS,AEROSPACE & DEFENSE,300509626000,39.19,30.96,4.551,5.69,5.69,0.123,0.0421,0.0828,0.127,93499998000,69.43,15895000000,20.68,0.287,0.145,0.294,232.27,4,11,8,0,0,1347758000,0.0126,2.785,3.557,49.25,226.13,148.41
RXRX,2026-08-07,Recursion Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,1698502000,NA,NA,1.554,-1,-1,-0.566,-0.27,0,-17.6,54856000,0.108,-465648000,-5.31,0,-0.601,1.054,7.25,2,1,4,0,0,533191000,NA,NA,15.37,1.718,7.18,2.77
SANA,2026-08-07,Sana Biotechnology Inc,HEALTHCARE,BIOTECHNOLOGY,948974000,NA,NA,7.3,-0.89,-0.89,-1.474,-0.275,0,0,0,0,-168568992,-1.082,0,0,2.104,8.57,2,6,1,0,0,278292000,NA,NA,NA,0.442,6.55,2.61
SENEA,2026-08-07,Seneca Foods Corp A,CONSUMER DEFENSIVE,PACKAGED FOODS,1128920000,10.3,39.37,1.484,16.17,16.17,0.165,0.0805,0.0691,0.0645,1659675000,242.75,200464000,7.04,39.97,0.139,-0.047,202,0,1,0,0,0,5221200,NA,0.831,0.816,111.49,187.61,99.58
SG,2026-08-07,Sweetgreen Inc,CONSUMER CYCLICAL,RESTAURANTS,697518000,48.92,12.9,1.568,0.12,0.12,0.0364,-0.0918,0.0249,-0.203,674691000,5.7,-64551000,10.43,0,-0.029,2.199,7.83,2,1,10,0,1,106934000,NA,NA,1.431,4.115,10.63,4.49
SMPL,2026-08-07,Simply Good Foods Co,CONSUMER DEFENSIVE,PACKAGED FOODS,988773000,NA,6.14,0.636,-2.11,-2.11,-0.122,0.0538,-0.143,0.128,1392235000,14.6,217475000,9.06,-0.326,-0.063,0.151,14.88,0,4,7,0,0,88441000,NA,1.643,0.875,16.04,30.36,9.88
SNAP,2026-08-17,Snap Inc,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,9149380000,NA,10.5,4.748,-0.18,-0.18,-0.156,-0.0272,-0.049,-0.0264,6351084000,3.759,-146279008,1081.7,3.958,0.189,1.024,7.28,3,7,30,1,2,1437047000,NA,496.06,1.687,1.146,9.28,3.81
SOFI,2026-08-07,SoFi Technologies Inc.,FINANCIAL SERVICES,CREDIT SERVICES,23548203000,37.24,27.17,1.9,0.49,0.49,0.071,0.0125,0.149,0.17,4268439000,3.445,NA,NA,0.438,0.426,2.204,19.87,2,5,12,2,2,1290312000,NA,0.783,5.68,8.44,32.73,14.88
SOUN,2026-08-07,SoundHound AI Inc,TECHNOLOGY,SOFTWARE - APPLICATION,2801385000,NA,227.27,5.81,-0.7,-0.7,-0.394,-0.197,-0.918,-1.393,183986000,0.446,-157618000,135.77,0,0.517,2.825,13.14,0,6,1,0,0,403139000,NA,NA,13.4,1.081,22.17,5.65
SPGI,2026-08-15,S&P Global Inc,FINANCIAL SERVICES,FINANCIAL DATA & STOCK EXCHANGES,124603122000,24.94,22.62,3.846,16.95,16.95,0.143,0.0703,0.305,0.448,16122000000,53.79,8143000000,15.81,0.177,0.104,1.072,516.95,6,17,1,0,0,294800000,0.0094,2.039,8.23,106.86,525.02,359.36
SRPT,2026-08-07,Sarepta Therapeutics Inc,HEALTHCARE,BIOTECHNOLOGY,1681829000,NA,5.08,1.041,-1.57,-1.57,0.0491,2e-4,0.0298,0.49,2184184000,21.41,46184000,15.61,26.64,-0.019,0.205,22.17,0,7,11,3,2,105576000,NA,159.25,0.893,10.87,25.32,14.68
STRL,2026-08-07,"Sterling Infrastructure, Inc.",INDUSTRIALS,ENGINEERING & CONSTRUCTION,16397894000,38.62,28.74,12.21,13.88,13.88,0.4,0.145,0.126,0.201,3438486000,112.23,714010000,23.19,1.165,0.901,1.889,946.67,0,7,0,0,0,30588500,NA,0.926,4.781,44.36,1005.68,263.45
SWKS,2026-08-17,Skyworks Solutions Inc,TECHNOLOGY,SEMICONDUCTORS,10475915000,36.07,13.79,1.826,1.93,1.93,0.0509,0.0344,0.0723,0.0883,4014100000,26.8,880200000,12.69,-0.686,-0.031,1.51,68.25,2,3,16,1,1,150473000,0.0407,9.86,2.58,38.13,88.05,51.49
TDUP,2026-08-07,ThredUp Inc,CONSUMER CYCLICAL,INTERNET RETAIL,408448000,NA,NA,12.56,-0.09,-0.09,-0.372,-0.0791,-0.0669,-0.0807,321193000,2.581,-8770000,-2.746,0,0.146,2.058,8.04,0,6,1,0,0,111010000,NA,NA,2.331,0.46,12.28,3.04
TEAM,2026-08-17,Atlassian Corp Plc,TECHNOLOGY,SOFTWARE - APPLICATION,41166221000,NA,30.3,38.89,-0.21,-0.21,-0.0448,0.0304,-0.0082,0.123,6572308000,25.26,436393000,194,1.722,0.276,1.038,187.93,5,21,6,0,0,159634000,NA,1.698,6.26,4.187,184,56.01
TER,2026-08-17,Teradyne Inc,TECHNOLOGY,SEMICONDUCTOR EQUIPMENT & MATERIALS,65473946000,57.45,44.84,19.05,7.29,7.29,0.365,0.198,0.258,0.332,4464031000,28.44,1504894000,43.74,3.858,1.039,1.793,449.8,1,12,3,0,1,156341000,0.0012,1.066,14.61,20.08,487.91,106.03
TMO,2026-08-15,Thermo Fisher Scientific Inc,HEALTHCARE,DIAGNOSTICS & RESEARCH,217518621000,31.65,23.87,4.209,18.59,18.59,0.135,0.0513,0.15,0.188,46336000000,123.89,11739000000,21.6,0.094,0.105,0.847,631.42,3,19,6,0,0,369747000,0.003,1.956,5.62,142.47,642.71,434.83
TOST,2026-08-07,Toast Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,20184001000,42.96,23.36,9.41,0.81,0.81,0.225,0.0806,0.0639,0.0675,6446000000,11.02,420000000,40.49,1.23,0.219,1.725,34.92,6,15,9,0,0,516000000,NA,0.247,2.632,3.431,46.11,22.26
TROW,2026-08-17,T. Rowe Price Group Inc,FINANCIAL SERVICES,ASSET MANAGEMENT,23584201000,11.1,10.94,2.143,9.96,9.96,0.194,0.107,0.293,0.287,7592000000,34.95,2963800000,6.54,0.286,0.107,1.483,109.92,0,0,9,1,3,213316000,0.0462,2.956,2.737,50.16,122,84.21
TSLA,2026-08-15,Tesla Inc,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1351811596000,311.15,169.49,15.05,1.1,1.1,0.0467,0.0193,0.0367,0.0141,103619002000,32.05,10755000000,106.37,-0.03,0.255,1.827,396.62,6,17,18,4,2,3949547000,NA,4.848,12.35,22,498.83,297.38
TWLO,2026-08-17,Twilio Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,36581618000,32.9,39.84,4.075,7.24,7.24,0.135,0.0206,0.206,0.0783,5572328000,36.51,499808000,70.08,46.72,0.22,1.383,250.08,6,20,4,0,2,153575000,NA,0.412,6.28,51.17,258.35,98.44
TXN,2026-08-15,Texas Instruments Incorporated,TECHNOLOGY,SEMICONDUCTORS,255325782000,42.42,35.09,14.22,6.59,6.59,0.352,0.131,0.311,0.426,19453000000,21.38,9520000000,27.2,0.518,0.228,1.325,324.45,2,15,17,2,0,913248000,0.0206,1.236,13.53,19.72,332.33,150.2
TXRH,2026-08-07,Texas Roadhouse Inc,CONSUMER CYCLICAL,RESTAURANTS,13704625000,33.25,32.57,9.02,6.27,6.27,0.289,0.0899,0.0685,0.0896,6063593000,91.62,701352000,20.71,0.1,0.128,0.797,203.17,2,12,13,1,0,65730000,0.0134,2.571,2.395,23.05,213.26,153.17
U,2026-08-07,Unity Software Inc,TECHNOLOGY,SOFTWARE - APPLICATION,15483897000,NA,33.78,4.652,-1.58,-1.58,-0.201,-0.04,-0.35,-0.152,1922886000,4.508,71120000,134.62,0,0.168,2.019,36.04,4,13,9,0,0,436535000,NA,NA,7.25,6.82,52.15,16.78
UNH,2026-08-15,UnitedHealth Group Incorporated,HEALTHCARE,HEALTHCARE PLANS,360590770000,25.64,20.66,3.792,15.67,15.67,0.141,0.0487,0.0314,0.0713,450525987000,497.54,26681000000,18.29,0.615,0.004,0.632,475.23,6,16,5,0,0,897595000,0.0224,1.259,0.929,115.36,461.62,254.52
UPS,2026-08-15,United Parcel Service Inc,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,88906670000,19.42,14.43,5.91,5.38,5.38,0.296,0.0723,0.0508,0.0905,89929998000,105.86,12026000000,10.45,-0.53,0.076,1.038,115.96,0,14,12,1,2,749349000,0.0622,1.63,1.258,17.7,118.73,78.17
UPST,2026-08-07,Upstart Holdings Inc,FINANCIAL SERVICES,CREDIT SERVICES,2938854000,73.66,34.72,3.582,0.41,0.41,0.0794,0.0198,0.0469,0.072,1285890000,13.26,115055000,NA,2.2,0.423,2.165,39.8,2,6,6,0,1,97313000,NA,NA,4.081,7.66,76.95,23.96
UTZ,2026-08-07,Utz Brands Inc,CONSUMER DEFENSIVE,PACKAGED FOODS,2038505000,NA,18.21,1.762,-0.1,-0.1,-0.0311,-1e-4,-0.02,-0.0137,1453100000,16.54,87200000,18.56,-0.478,0.014,0.768,14.31,1,0,9,0,0,88613000,0,NA,1.53,7.86,14.19,6.72
V,2026-08-15,Visa Inc. Class A,FINANCIAL SERVICES,CREDIT SERVICES,679885275000,31.04,24.1,19.46,11.73,11.73,0.612,0.191,0.508,0.661,44487999000,23.4,31094000000,23.37,0.102,0.144,0.759,416.2,9,29,3,0,0,1704113000,0.0073,1.639,15.27,18.87,373.28,292.74
VEEV,2026-08-17,Veeva Systems Inc Class A,HEALTHCARE,HEALTH INFORMATION SERVICES,39595553000,43.29,27.1,5.42,5.63,5.63,0.139,0.073,0.284,0.309,3319216000,20.26,1026113000,32.53,0.146,0.163,0.922,244.14,9,13,7,1,0,162443000,NA,1.099,9.76,44.83,310.5,148.05
VERA,2026-08-07,Vera Therapeutics Inc,HEALTHCARE,BIOTECHNOLOGY,2298489000,NA,NA,4.613,-5.84,-5.84,-0.713,-0.389,0,0,0,0,-382888000,-3.597,0,0,0.954,81.79,1,12,1,0,0,71783000,NA,NA,NA,6.97,56.05,19.28
VERX,2026-08-07,Vertex,TECHNOLOGY,SOFTWARE - APPLICATION,1876862000,578.5,15.02,8.47,0.02,0.02,0.0146,0.0065,0.0045,0.0337,787439000,4.916,19386000,25.82,-0.44,0.105,0.813,17.15,3,4,8,0,0,80062000,NA,NA,2.847,1.549,26.62,10.21
VITL,2026-08-07,Vital Farms Inc,CONSUMER DEFENSIVE,FARM PRODUCTS,537073000,11.69,208.33,1.647,1.07,1.07,0.154,0.0924,0.061,-0.0125,784410000,17.56,79484000,6.4,0.513,0.154,1.071,12,1,2,7,0,0,42931500,NA,NA,0.698,7.52,53.12,7.95
WAL,2026-08-17,Western Alliance Bancorporation,FINANCIAL SERVICES,BANKS - REGIONAL,8981183000,9.29,8.22,1.19,8.86,8.86,0.13,0.0109,0.282,0.394,3487100000,32.18,NA,NA,0.14,0.136,1.332,93.07,4,7,4,0,0,109101000,0.0201,1.467,4.327,67.88,95.75,65.11
WBS,2026-08-17,Webster Financial Corporation,FINANCIAL SERVICES,BANKS - REGIONAL,12800642000,12.87,12.53,1.351,6.14,6.14,0.107,0.0122,0.368,0.506,2769366000,17.2,NA,NA,0.028,0.058,1.005,76.18,1,1,11,1,0,162033000,0.0202,1.728,5.94,57.33,79.4,51.49
WDAY,2026-08-17,Workday Inc,TECHNOLOGY,SOFTWARE - APPLICATION,49068687000,61.7,18.69,7.34,3.22,3.22,0.109,0.0434,0.086,0.133,9854000000,37.62,1512000000,28.1,2.48,0.135,1.054,176.12,5,19,16,1,1,201000000,NA,0.781,4.924,26.84,249.85,110.36
WING,2026-08-07,Wingstop Inc,CONSUMER CYCLICAL,RESTAURANTS,3374262000,29.28,29.33,NA,4.23,4.23,0,0.19,0.162,0.298,720719000,26.13,234028000,20.57,0.198,0.064,1.806,206.59,4,20,5,0,0,27242500,0.0099,1.962,6.48,-28.38,344.05,116.06
WLDN,2026-08-07,Willdan Group Inc,INDUSTRIALS,ENGINEERING & CONSTRUCTION,1113501000,19.81,15.62,3.728,3.72,3.72,0.203,0.0565,0.0824,0.047,684280000,46.85,64095000,18.01,0.719,0.018,1.156,137.5,0,2,0,0,0,15110600,NA,0.476,1.751,20.65,137,64.67
WMT,2026-08-15,Walmart Inc.,CONSUMER DEFENSIVE,DISCOUNT STORES,917327708000,40.59,38.61,9.5,2.84,2.84,0.241,0.0684,0.0314,0.0422,725305000000,90.98,44837999000,19.94,0.194,0.073,0.605,137.97,9,28,5,1,0,7958079000,0.0082,4.294,1.324,11.85,135.16,94.85
WTS,2026-08-07,Watts Water Technologies Inc,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,12148941000,33.32,29.85,5.51,10.92,10.92,0.189,0.115,0.143,0.197,2557800000,76.35,558500000,20.24,0.345,0.214,1.13,360.56,1,2,9,0,0,27474600,0.0058,3.729,4.445,62.77,394.54,258.57
XENE,2026-08-07,Xenon Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,6215596000,NA,NA,4.53,-4.72,-4.72,-0.375,-0.242,0,0,0,0,-410188992,34.16,0,-1,0.627,80.93,3,17,0,0,0,96666000,NA,-0.06,649.22,7.27,72.66,32.78
XOM,2026-08-15,Exxon Mobil Corp,ENERGY,OIL & GAS INTEGRATED,658317115000,20.6,13.39,2.533,7.77,7.77,0.126,0.0552,0.0907,0.159,361060008000,85.49,67937001000,9.09,1.128,0.441,0.173,168.32,3,7,14,1,0,4111912000,0.0257,1.251,1.908,63.08,175.22,103.36
YETI,2026-08-07,YETI Holdings Inc,CONSUMER CYCLICAL,LEISURE,3930342000,26.74,17.12,5.62,1.94,1.94,0.223,0.104,0.0836,0.0327,1897780000,24.1,256394000,14.27,-0.35,0.083,1.723,53.07,2,8,6,0,0,75758000,NA,1.655,2.005,8.67,53.99,31.56
YEXT,2026-08-07,Yext Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,574422000,71.62,7.6,22.36,0.08,0.08,0.477,0.0072,0.0893,0.114,445013000,3.706,30751000,7.71,2.264,-0.014,1.124,5,NA,NA,NA,NA,NA,100248000,NA,0,1.528,1.297,9.2,3.265
ZION,2026-08-07,Zions Bancorporation,FINANCIAL SERVICES,BANKS - REGIONAL,10463826000,9.13,10.81,1.376,7.85,7.85,0.164,0.0132,0.318,0.521,3687000000,25.12,NA,NA,0.871,0.352,0.781,74.95,1,6,12,1,2,145939000,0.0251,4.703,3.345,49.16,73.34,45.12
ZM,2026-08-17,Zoom Video Communications Inc,TECHNOLOGY,SOFTWARE - APPLICATION,31070886000,15.61,16.78,3.116,6.79,6.79,0.22,0.0655,0.42,0.251,4933060000,16.56,1341010000,17.7,0.742,0.055,1.04,115,2,15,13,0,1,264646000,NA,4.214,4.746,33.98,114.74,70.7
ZNTL,2026-08-07,Zentalis Pharmaceuticals Llc,HEALTHCARE,BIOTECHNOLOGY,355932000,NA,NA,1.845,-1.74,-1.74,-0.519,-0.279,0,0,26865000,0.374,-141476000,-2.313,0,0,1.891,6.67,0,5,5,0,0,71186000,NA,NA,7.77,2.567,6.95,1.212
ZS,2026-08-17,Zscaler Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,29689868000,NA,40,12.55,-0.48,-0.48,-0.0371,-0.0136,-0.0244,-0.0328,3173564000,19.98,-60796000,194.5,0,0.254,0.917,192.77,8,30,8,0,0,161710000,NA,2,8.83,14.63,336.99,114.62
