symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score
LIN,520.74,548.2,385.26,2026-07-10,SPECIALTY CHEMICALS,248849170000,35.83,30.21,6.48,15.02,15.02,0.182,0.0724,0.204,0.285,34654999000,74.18,13590000000,20.29,0.134,0.082,0.723,547.32,5,17,4,1,0,462347000,0.0113,2.288,7.86,83.37,25,40,65,75,27,74.1,0.05104274686023743,52.41
ABBV,254.39,259.79,179.07,2026-07-17,DRUG MANUFACTURERS - GENERAL,449454440000,124.09,17.18,50.46,2.05,2.05,0.623,0.1,0.0579,0.322,62819000000,35.5,29915001000,29.24,-0.462,0.124,0.283,266.57,8,16,6,0,1,1766793000,0.0276,0.399,7.88,-3.767,25,20,95,40,31,74.2,0.04787924053618463,52.17
WMT,114.95,135.16,93.6,2026-07-11,DISCOUNT STORES,892976038000,39.79,38.76,9.54,2.82,2.82,0.241,0.0684,0.0314,0.0422,725305000000,90.98,44837999000,20.02,0.194,0.073,0.603,138.59,9,28,5,1,0,7958079000,0.0084,4.304,1.328,11.85,25,40,80,40,43,76.2,0.20565463244889082,51.87
CVX,183.86,212.76,140.64,2026-07-17,OIL & GAS INTEGRATED,361674146000,31.64,12.69,1.975,5.74,5.74,0.0664,0.0346,0.0593,0.0731,185740001000,97.35,37906002000,9.69,-0.445,0.023,0.488,213.91,5,13,5,1,0,1991598000,0.038,0.751,2.168,92.91,45,75,40,40,24,72.9,0.16343957358859992,51.54
DHR,205.01,241.78,160.6,2026-07-17,DIAGNOSTICS & RESEARCH,145100046000,39.73,23.7,2.675,5.16,5.16,0.0708,0.0419,0.149,0.229,24778000000,34.87,7935000000,21.82,0.098,0.037,0.823,242.52,4,18,4,0,0,707771000,0.0068,1.28,6.23,74.82,25,75,40,60,26,75,0.18296668455197318,49.75
MRK,127.63,130.29,74.18,2026-07-10,DRUG MANUFACTURERS - GENERAL,311173186000,36.41,25.06,6.83,3.46,3.46,0.189,0.126,0.136,0.386,65768002000,26.42,29517001000,18.37,-0.193,0.049,0.205,131.67,4,15,9,0,1,2469824000,0.0255,6.26,5.42,18.58,25,40,65,60,29,68.1,0.03165399984329697,49.56
COST,945.57,1096.5,841.69,2026-07-17,DISCOUNT STORES,406466068000,46.29,41.15,12.26,19.8,19.8,0.291,0.0867,0.0301,0.0367,293586993000,661.29,13790000000,27.59,0.455,0.215,0.872,1076.91,3,19,13,1,1,443479000,0.0058,4.518,1.359,37.28,25,20,80,40,37,64.9,0.1389003458231543,46.74
MCD,273.46,337.56,264.53,2026-07-10,RESTAURANTS,196447764000,22.95,21.46,146.07,12.05,12.05,0,0.136,0.316,0.443,27446000000,38.53,14869000000,16.81,0.069,0.094,0.418,329.84,5,14,15,1,0,710506000,0.0261,2.555,9.16,-1.81,60,20,15,90,35,66.4,0.20617274921377898,43.64
PM,189.84,191.46,138.43,2026-07-10,TOBACCO,291559604000,26.46,22.27,1318.7,7.07,7.07,0,0.155,0.267,0.36,41493000000,26.66,18594001000,18.99,-0.093,0.091,0.405,194.86,4,7,4,0,0,1558559000,0.0307,2.621,8.17,-5.95,45,20,15,90,15,75,0.026443320691108354,40.75
AMD,500.94,584.73,149.22,2026-07-17,SEMICONDUCTORS,816833036000,165.87,75.76,13.52,3.02,3.02,0.0806,0.0365,0.134,0.144,37454000000,23.02,7430000000,106.72,0.912,0.378,2.469,537,5,37,9,0,0,1630601000,NA,1.28,23.04,39.55,25,20,40,60,51,73,0.07198466882261349,38.55
TSLA,391.06,498.83,297.82,2026-07-11,AUTO MANUFACTURERS,1526889447000,356.62,172.41,17.59,1.14,1.14,0.049,0.0223,0.0395,0.042,97878999000,30.31,11094000000,120.26,0.083,0.158,1.802,424.56,5,18,18,4,2,3755724000,NA,4.938,14.83,21.9,25,20,40,40,47,60.6,0.08566460389710019,34.31
