symbol,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak
JPM,296.579987,312.470001,300.26001,312.130005,264.660004,-0.050853,-0.012256,-0.049819,0.120608,302.48,302.986,305.800551,43.002543,-0.5843,-0.375256,-0.209044,312.069026,292.890975,0.192356,0.223833,8641805,0.999055,0.001015,5.46e-4,-4.69e-4,0.011217,250,-0.011844,-0.117876,0.178056,-0.663375,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,57.142857,30.612245,30,36.765306,2,-0.005714468331999956,-0.005714468331999956,-0.005714468331999956,0.5,-0.0028205,0.012761156080073622,-0.710766,-3.508620156057817,0.031746031746031744,0
KO,78.639999,78.580002,79.339996,70.809998,72,7.64e-4,-0.008823,0.110578,0.092222,80.021501,77.761201,73.00265,45.577702,0.795909,1.193708,-0.3978,82.503131,77.539871,0.221654,0.147759,14739935,-0.084558,0.001015,4.04e-4,-6.11e-4,0.012959,250,-0.007406,0.12338,0.205722,-0.74889,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,59.183673,63.265306,30,65.158163,2,-0.027160605787999947,-0.027160605787999947,-0.027160605787999947,0,-0.013654,0.008836006337707097,-3.4408079999999996,-24.53037289965336,0.031746031746031744,0
LIN,497.410004,507.920013,501.679993,409.149994,464.570007,-0.020692,-0.008511,0.215716,0.070689,504.878999,501.073999,465.415151,44.166343,0.15303,0.465864,-0.312834,519.420374,490.337624,0.243181,0.20305,2100065,0.230038,0.001015,3.3e-4,-6.86e-4,0.011968,250,-0.003286,0.024197,0.189994,-0.909339,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,45,61.22449,83.673469,30,53.602041,2,-0.014287729132000049,-0.014287729132000049,-0.014287729132000049,0,-0.007162,0.0054814917677581156,-1.804824,-20.74129272761221,0.031746031746031744,0
LLY,1082.199951,963.330017,1007.72998,1033.560059,747.119995,0.123395,0.073899,0.047061,0.448496,1022.408502,957.762405,939.553103,63.529718,3.993875,3.212243,0.781632,1120.300488,924.516517,0.805395,0.315942,3234230,0.572345,0.001015,0.001769,7.54e-4,0.02374,250,-0.023357,0.29947,0.376862,0.504349,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,71.428571,53.061224,70,76.790816,2,-0.044684929833999965,-0.044684929833999965,-0.044684929833999965,0,-0.0225975,0.0010740952006223652,-5.69457,-333.97802290042466,0.031746031746031744,0
MA,495.25,495.459991,524.320007,553.72998,581.219971,-4.24e-4,-0.055443,-0.105611,-0.147913,496.762505,501.408401,541.459198,46.702735,-0.5008,-0.498767,-0.002032,505.090717,488.434292,0.409194,0.181154,3662185,0.560221,0.001015,-5.45e-4,-0.001561,0.013498,250,-1.52e-4,-0.280762,0.214278,-1.835295,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,34.693878,18.367347,30,27.581633,2,-0.0021776920480000017,-0.0021776920480000017,-0.0021776920480000017,0,-0.0010890000000000001,0.00132511810794359,-0.274428,-13.04588546701224,0.031746031746031744,0
MCD,276.109985,286.640015,332.170013,307.709991,312.679993,-0.036736,-0.168769,-0.102694,-0.116957,279.638503,294.220402,307.3223,36.792561,-1.605917,-1.894625,0.288708,286.749375,272.52763,0.251893,0.165019,4405690,0.098293,0.001015,-4.44e-4,-0.001459,0.012361,250,-0.013791,-0.136947,0.196217,-1.873511,FALSE,FALSE,FALSE,FALSE,Neutral,TRUE,15,20,4.081633,20.408163,70,19.056122,2,-0.01188367179399985,-0.01188367179399985,-0.01188367179399985,0.5,-0.0059285,0.011119254134158459,-1.493982,-8.4638788492805,0.031746031746031744,0
META,600.469971,608.75,655.080017,639.599976,670.900024,-0.013602,-0.083364,-0.061179,-0.104978,612.911499,618.407399,665.673449,41.613541,-0.425436,-0.639123,0.213687,633.81564,592.007358,0.202415,0.273221,15398935,1.486495,0.001015,-2e-4,-0.001215,0.019456,250,-0.053379,-0.430727,0.308858,-0.991639,FALSE,FALSE,FALSE,FALSE,Neutral,TRUE,15,45,28.571429,26.530612,70,31.377551,2,-0.05987944640699994,-0.05987944640699994,-0.05987944640699994,0,-0.030123,0.0328889506065487,-7.5909960000000005,-14.539466648837905,0.031746031746031744,0
MRK,115.169998,112.160004,119.830002,102.269997,76.25,0.026837,-0.038888,0.126137,0.510426,114.861,116.061,103.2534,48.768952,0.895532,0.414692,0.48084,121.518261,108.203738,0.523208,0.294028,8774395,0.349172,0.001015,0.001795,7.8e-4,0.017555,250,-0.032625,0.362954,0.278672,0.705002,TRUE,FALSE,TRUE,TRUE,Neutral,TRUE,35,45,36.734694,71.428571,70,47.806122,2,-0.04447534374999995,-0.04447534374999995,-0.04447534374999995,0,-0.0224375,0.014407300666675907,-5.654249999999999,-24.722484696659723,0.031746031746031744,0
MS,211.009995,190.169998,165.949997,173.720001,128.399994,0.109586,0.271528,0.214656,0.64338,196.273499,185.090399,171.126049,76.590923,3.010098,2.529254,0.480844,209.024972,183.522027,1.077835,0.231019,5621455,1.375361,0.001015,0.002114,0.001099,0.012349,250,0.011748,0.180858,0.196031,1.412431,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,85.714286,81.632653,70,78.540816,2,0.03012842591600018,0.03012842591600018,0.03012842591600018,1,0.014957499999999999,0.004538918428436448,3.76929,52.31267209472307,0.031746031746031744,2
MSFT,460.519989,414.440002,403.929993,477.730011,461.970001,0.111186,0.140099,-0.036025,-0.003139,419.898499,404.255599,458.161149,72.855396,1.993232,1.19645,0.796782,446.018058,393.778939,1.277607,0.289089,36045410,0.846928,0.001015,1.09e-4,-9.06e-4,0.014244,250,0.020109,-0.189169,0.226113,-1.009788,TRUE,TRUE,TRUE,FALSE,Overbought,TRUE,80,30,73.469388,40.816327,70,61.704082,2,0.07311386363999994,0.07311386363999994,0.07311386363999994,1,0.0360345,0.022522058087572724,9.080694,25.39865368818039,0.031746031746031744,2
NEE,83.660004,96.949997,92.589996,84.949997,70.150002,-0.137081,-0.096447,-0.015185,0.192587,91.2875,92.2804,85.0942,29.088374,-2.262478,-1.351818,-0.91066,98.659851,83.915149,-0.017304,0.27106,12787240,0.159331,0.001015,8.16e-4,-1.99e-4,0.016198,250,-0.041224,0.164952,0.257138,-0.194844,FALSE,FALSE,FALSE,TRUE,Oversold,FALSE,15,20,22.44898,44.897959,30,25.464286,2,-0.046249903792,-0.046249903792,-0.046249903792,0,-0.023232999999999997,0.025443116200654353,-5.854715999999999,-14.495568795550938,0.031746031746031744,0
