date,tranche,model_ret,q5_ret,spy_ret,univ_ret,model_cum,q5_cum,spy_cum,univ_cum,rel_cum,model_dd,spy_dd,n_held
2025-08-08,6,0.013620771124236652,-0.01158955238149062,0.00779753685374662,-0.0010418736256693362,1.4713403965274474,1.4382904962091996,1.234916814650046,1.2982222218453647,1.1914489940315534,0,0,39
2025-08-11,6,-0.004593617606482914,-0.009012509644571898,-0.00197747854626395,-0.008032549238581793,1.4645816213768292,1.425327889240418,1.232474793142655,1.2877941879257708,1.1883258217738728,-0.004593617606483025,-0.0019774785462639555,39
2025-08-12,6,0.017420764873981476,0.030939742904279255,0.01064602420617188,0.021912089456521344,1.4900957534415895,1.4694271676878157,1.2455957496239483,1.3160124493731884,1.196291616996491,0,0,39
2025-08-13,6,-0.004375896596154671,0.02588212261625955,0.00342313121205251,0.017248949406981087,1.48357524850616,1.5074590618175745,1.249859587312086,1.3387122815313839,1.1869935339670408,-0.004375896596154671,0,39
2025-08-14,6,-0.0027853356652179917,-0.018160130750511372,9.303533506632712e-5,-0.009458405450568096,1.479442993454461,1.4800834081539243,1.2499758684175775,1.326050197991005,1.1835772440370231,-0.007149043920516074,0,39
2025-08-15,6,-0.009749964511987286,0.011852638756238099,-0.00234128186222948,0.0037878138797414864,1.465018476770772,1.4976263021198744,1.2470493225886268,1.3310730293361894,1.1747879175538016,-0.016829305507983672,-0.002341281862229483,39
2025-08-18,6,0.009243039803706665,0.005072988102605702,-2.17603269778488e-4,0.005325940807214629,1.47855970086473,1.505223742532678,1.2467779605784566,1.3381622455005138,1.1859045857521702,-0.007741819644955905,-0.0025583756614192543,39
2025-08-19,6,-0.020115507733404425,-0.004818257317548702,-0.005425136484688,-0.010220091589501995,1.4488177217676852,1.4979711872206718,1.2400140199762173,1.324486104789885,1.1683881782203338,-0.02770159674542172,-0.007969632608965105,39
2025-08-20,6,-7.679952752350783e-4,-0.008288225663464877,-0.00265705789768555,-0.003499319171151401,1.447705036602691,1.4855556639836185,1.2367192309311987,1.31985130517147,1.1706012168280333,-0.02844831732523978,-0.010605514731385268,39
2025-08-21,6,0.004556497089758249,0.0040042555310630945,-0.00401184375321028,8.123267680492053e-4,1.4543015003887994,1.491504208467827,1.2317577066101124,1.3209234557165055,1.180671728363806,-0.024021444910582557,-0.01457481081657086,39
2025-08-22,6,0.017372263651218134,0.04092962608004069,0.01535679325479644,0.027375058990634655,1.4795660094819156,1.5525509180172221,1.2506735550505261,1.3570838132388579,1.1830153468161742,-0.007066488133634308,0,39
2025-08-25,6,-0.001930279236360244,-0.016288378270900572,-0.00440102720585988,-0.010733495165039575,1.4767100339349883,1.5272623813797237,1.2451693067090992,1.3425175606909052,1.1859512003534973,-0.00898312707467619,-0.0044010272058598865,39
2025-08-26,6,0.009379796049336253,0.003575587334803787,0.00418696991932909,0.003227527653747622,1.490561272877307,1.5327232414075074,1.250382793140762,1.3468505732436769,1.1920839610510434,0,-2.324842550559536e-4,39
2025-08-27,6,0.0011390393067960414,0.020236955325126704,0.0022785538462906,0.00855542120715992,1.492259080756302,1.5637408931696544,1.2532318576634085,1.3583734472008813,1.1907286521893472,0,0,39
2025-08-28,6,0.01201228294108958,0.0016087839108209767,0.00354140390958002,0.00405306051734139,1.5101845190557572,1.5662566143592787,1.257670057863748,1.3638790169875363,1.2007795761798805,0,0,39
2025-08-29,6,-0.01697187980827164,-0.0022407860347264386,-0.00596374779496244,-0.00613836379093693,1.4845538489100303,1.5627469684110245,1.2501696308293728,1.3555070314144413,1.1874819322919923,-0.01697187980827175,-0.0059637477949624484,39
2025-09-02,6,-0.008050739588313593,0.005733778857950567,-0.00741022921041101,-0.0048696651615250715,1.472602092467627,1.5717074139388258,1.2409055873130321,1.34890616604736,1.1867156595340134,-0.0248859832119247,-0.013329784267259837,39
2025-09-03,6,-0.005434795977565576,-0.00215884692263979,0.00541954268866962,-0.0025535434710572055,1.4645988005389292,1.568314338224954,1.2476307281160839,1.345461675513981,1.1739040787737458,-0.030185528948032503,-0.007982482913457267,39
2025-09-04,6,0.010786202459100114,0.007276523094703613,0.00835741908911669,0.006324151775637133,1.4803962597228975,1.5797262137268027,1.2580577009794098,1.3539705793582346,1.1767316066428393,-0.01972491371550078,0,39
2025-09-05,6,-0.0022993322441045017,0.023174057088278355,-0.0028962362844378,0.0069188893968750095,1.4769923368688649,1.6163348791875574,1.2544140686179168,1.3633385520434371,1.1774360427065198,-0.02197889182948698,-0.002896236284437803,39
2025-09-08,6,0.003992306866793527,-0.012284898252446164,0.00245662641285959,-7.091611523840516e-4,1.4828889435175479,1.5964783696548583,1.2574956953515461,1.3623717253047802,1.1792397771214562,-0.018074331443468816,-4.4672484213259533e-4,39
2025-09-09,6,0.0024365013448599537,-0.003703615276907879,0.00231185358335883,-8.498148333374096e-4,1.4865020044227062,1.5905656279757516,1.260402841280903,1.3612139616040968,1.1793864276853159,-0.015681868231478435,0,39
2025-09-10,6,0.008993233057403627,-0.011643650095022218,0.00289084746729861,-0.003966257038453092,1.4998704633887774,1.5720456383504327,1.264046473642396,1.3558150371480437,1.1865627527656053,-0.006829665869855894,0,39
2025-09-11,6,0.011071547829378803,0.022361857217608083,0.00831018035227848,0.016086664128483058,1.5164763509620587,1.6071994984547886,1.274550927812026,1.3776255782709914,1.189812284366963,0,0,39
2025-09-12,6,0.0028352812407390626,-0.012515242667016535,-3.3458287585352853e-4,-0.008488694508151269,1.5207759879119658,1.5870850067173197,1.2741244848971767,1.3659313355904337,1.1935850899488005,0,-3.3458287585363955e-4,39
2025-09-15,6,0.004833144484682972,-2.45530590308185e-4,0.00532392288370497,0.003026044933570433,1.528126117990381,1.586695328798751,1.2809078253990096,1.370064705188102,1.193002406331901,0,0,39
2025-09-16,6,5.5061500057851376e-5,0.008391852973371305,-0.00137684886218569,0.0034866089776584798,1.528210258906715,1.6000106427115652,1.2791442089170442,1.374841585089184,1.1947130341156267,0,-0.0013768488621856978,39
2025-09-17,7,0.004406145341728472,-0.0015170190995488155,-0.00124243533972534,0.004383489668500559,1.5349437754201787,1.5975833960070904,1.2775549549472807,1.3808681889732475,1.2014698620017636,0,-0.0026175735562271596,39
2025-09-18,7,0.034556682073684675,0.012505619687681158,0.00467249783680645,0.021987239035303894,1.5879863394683549,1.6175621663769093,1.2835243277106732,1.4112296679204495,1.2372078231666461,0,0,39
2025-09-19,7,0.01389805236128061,-0.005014270478484573,0.00217437625731897,-0.002197660445747282,1.6100562567632846,1.609451272158932,1.2863151925345386,1.4081282642993955,1.2516809768769432,0,0,39
2025-09-22,7,9.666393900829018e-4,0.006636748130973036,0.0047310751705365,0.005817243336666308,1.6116126005613214,1.6201327948813249,1.2924008464034227,1.4163196890620628,1.2469912914760324,0,0,39
2025-09-23,7,0.0013496067427636316,-0.011560108188310991,-0.005443591771073,-0.006109524572612426,1.6137876437937617,1.6014038844930663,1.2853655437910132,1.4076666491190633,1.255508716247451,0,-0.005443591771073009,39
2025-09-24,7,-0.008881375704188121,-0.004400551115235296,-0.00318156589437934,-0.006137954494200032,1.5994549894224528,1.594356824843218,1.2812760686150773,1.3990264552837675,1.248329714884391,-0.008881375704188121,-0.00860783851953062,39
2025-09-25,7,-0.020690860770781083,-0.014616628408330667,-0.00461350462199838,-0.010638757370388531,1.5663608889271816,1.5710527035841988,1.2753648955504657,1.3841425522712487,1.228166852006004,-0.029388473166820916,-0.013181630838733693,39
2025-09-26,7,0.013541256953892189,0.012462530203156463,0.0057290777314567,0.01026887794516718,1.5875713842066717,1.5906319953533674,1.2826715601730456,1.3983561431992344,1.2377068561436662,-0.01624517307956319,-0.007528071694979377,39
2025-09-29,7,9.558035815695476e-4,0.003979144312957095,0.00281040967480339,0.0029157358329553623,1.5890887906216937,1.5969613496116855,1.286276392735351,1.4024333803131936,1.2354178305662535,-0.015304896692606262,-0.004738818985700166,39
2025-09-30,7,0.0012296495486157077,-0.0010628338586632369,0.00376687564427036,-0.002290458119908347,1.5910428129357919,1.5952640450183415,1.2911216359509459,1.399221165389625,1.2322950592985347,-0.014094066803300276,-9.897938832497122e-4,39
2025-10-01,7,0.009912526655734055,0.0018694067091988842,0.00340751682159079,0.00290644935563627,1.606814067229432,1.5982462423270427,1.2955211546441685,1.4032879308441641,1.240283928571405,-0.004321247960441643,0,39
2025-10-02,7,0.023970287575681093,0.014894159208567848,0.00115185650689353,0.011393769103501128,1.6453298625015713,1.622050776314757,1.2970134091159635,1.4192766695139325,1.2685527003325419,0,0,39
2025-10-03,7,0.009993003959379188,0.0031272800126800337,-1.4866158967619114e-5,0.0035836986300161614,1.6617716503320343,1.6271233832870782,1.2969941275084405,1.4243629293700835,1.2812483997320334,0,-1.4866158967619114e-5,39
2025-10-06,7,0.014485320454588946,-0.0012000276068191429,0.00358626335545864,0.005853255376202056,1.685842945209445,1.6251707903074328,1.301645490020169,1.4327000893440818,1.295162898143121,0,0,39
2025-10-07,7,-0.0028075659911432904,-0.012047767326895387,-0.00370749436232931,-0.010801091834211506,1.6811098298900662,1.6055911107593421,1.296819646704168,1.4172253641081933,1.2963327893455048,-0.0028075659911432904,-0.003707494362329311,39
2025-10-08,7,0.00943244457303094,0.016118520787407054,0.00596304140287462,0.015022438361217166,1.6969668051816817,1.6314708644541924,1.304552635949526,1.4385155447844622,1.3008036306227957,0,0,39
2025-10-09,7,0.006068734133026554,0.006310840512844917,-0.00289701868857694,-2.0191200138519472e-4,1.7072652455549007,1.6417668168811161,1.300773322582948,1.438225091231791,1.3125001996233907,0,-0.0028970186885768356,39
2025-10-10,7,-0.04352913243588685,-0.028085751007123294,-0.02702776437678722,-0.033703308916873044,1.6329494705779546,1.5956565628504358,1.2656163277125654,1.3897521466900082,1.2902405214140176,-0.04352913243588685,-0.02984648312685423,39
2025-10-13,7,0.05689994749809424,0.011089027932892126,0.01534402958011349,0.024164548615688047,1.725864209720881,1.6133508430471868,1.2850359820820616,1.4233348800024557,1.3430473806068632,0,-0.01496041886670152,39
2025-10-14,7,0.0036952382714250387,0.002374714296609959,-0.00122164211123987,0.005231484204049333,1.7322416891999244,1.6171820903596188,1.2834661280118917,1.430781033944261,1.349659061032793,0,-0.016163784700251926,39
2025-10-15,7,0.005195127268373678,0.008509767619600206,0.00443954899070742,0.008818731150265048,1.7412409052349005,1.6309439341471583,1.289164138765114,1.4433987072175136,1.3506743267795436,0,-0.011795995623596567,39
2025-10-16,7,-0.0282212668161822,-0.004503426320198178,-0.00681024155945808,-0.013694208475687203,1.6921008810570157,1.6235990983073525,1.280384619570333,1.4236325044073395,1.321556706628392,-0.0282212668161822,-0.018525903603423655,39
2025-10-17,7,-0.014210347636785525,-0.005762728046497911,0.00567631375159072,-0.0022937875190088895,1.6680555393006844,1.614242738247268,1.2876524843937251,1.4203669939370747,1.2954236950710092,-0.04203058044075936,-0.012954748693217777,39
2025-10-20,7,0.002011983293844999,0.02638723756713013,0.01040047711762737,0.015106616198416613,1.671411639178963,1.6568381448724134,1.3010446845931183,1.4418239329753806,1.2846688964427624,-0.04010316197259167,-0.0026890071429387374,39
2025-10-21,7,-0.013068950119694,0.013886528355983918,-1.4911017141350236e-5,0.004777203114408443,1.6495680438370572,1.6798458747524598,1.3010252846935246,1.4487118187584194,1.2678985283715196,-0.0526480058688239,-0.002703878064248433,39
2025-10-22,7,-0.037871325328959426,-0.012021387946654083,-0.00519893093686685,-0.015561089619612282,1.587096715796649,1.659651795801474,1.2942613440912853,1.426168284313728,1.2262567548990397,-0.08852548143960404,-0.007888751725797727,39
2025-10-23,7,0.03110699293511221,-0.002794471992066505,0.00592995214891178,0.011967788960567133,1.636466522122275,1.655013945341524,1.3019362519299331,1.4432363653626488,1.2569482720036782,-0.060172250030211094,-0.0020055794971343133,39
2025-10-24,7,0.021825577132960516,0.0012774237035331204,0.00817254697297387,0.007358854449024745,1.6721833484263624,1.657128099384981,1.3125763871046479,1.4538569317108923,1.2739703112555263,-0.03965996698154872,0,39
2025-10-27,7,0.01659497513907593,0.00623808579889662,0.01179769691306753,0.009242165227204882,1.6999331895214747,1.6674654066487071,1.3280617654949578,1.4672937176904812,1.2800106393304105,-0.023723148008548134,0,39
2025-10-28,7,-0.010234929347907373,-0.0034155374353769252,0.00265601446231444,-0.00561507240078644,1.6825344934305595,1.6617701161301024,1.3315891167509593,1.4590547572324302,1.2635538036957656,-0.03371527261267804,0,39
2025-10-29,7,0.013753823140305821,-0.02304645843139419,4.8033227231458753e-4,-0.0077615231690958495,1.7056757752806675,1.623472200226177,1.3322287219771975,1.4477302699291912,1.280317521415712,-0.020425163369014232,0,39
2025-10-30,7,-0.016836148653799454,-0.010184237644025873,-0.01099811955002039,-0.011146918974554281,1.6769587643728574,1.606938373530604,1.3175767112249215,1.4315925379132808,1.272759870515491,-0.03691743093605482,-0.010998119550020391,39
