symbol,date,close
AMD,2025-03-27,106.65
AMZN,2025-03-27,201.36
CRM,2025-03-27,277.81
CRWD,2025-03-27,91.64
DUOL,2025-03-27,332.94
GOOGL,2025-03-27,162.24
JPM,2025-03-27,248.12
META,2025-03-27,602.58
MSFT,2025-03-27,390.58
NVDA,2025-03-27,111.43
PANW,2025-03-27,174.44
SPY,2025-03-27,567.08
TSLA,2025-03-27,273.13
UNH,2025-03-27,515.72
WMT,2025-03-27,85.63
XOM,2025-03-27,117.89
AAPL,2025-03-28,217.9
AMD,2025-03-28,103.22
AMZN,2025-03-28,192.72
CRM,2025-03-28,269.97
CRWD,2025-03-28,89.2775
DUOL,2025-03-28,315
GOOGL,2025-03-28,154.33
JPM,2025-03-28,242.85
META,2025-03-28,576.74
MSFT,2025-03-28,378.8
NVDA,2025-03-28,109.67
PANW,2025-03-28,172.76
SPY,2025-03-28,555.66
TSLA,2025-03-28,263.55
UNH,2025-03-28,516.04
WMT,2025-03-28,85.15
XOM,2025-03-28,117.73
AAPL,2025-03-31,222.13
AMD,2025-03-31,102.74
AMZN,2025-03-31,190.26
CRM,2025-03-31,268.36
CRWD,2025-03-31,88.145
DUOL,2025-03-31,310.54
GOOGL,2025-03-31,154.64
JPM,2025-03-31,245.3
META,2025-03-31,576.36
MSFT,2025-03-31,375.39
NVDA,2025-03-31,108.38
PANW,2025-03-31,170.64
SPY,2025-03-31,559.39
TSLA,2025-03-31,259.16
UNH,2025-03-31,523.75
WMT,2025-03-31,87.79
XOM,2025-03-31,118.93
AAPL,2025-04-01,223.19
AMD,2025-04-01,102.78
AMZN,2025-04-01,192.17
CRM,2025-04-01,270.2
CRWD,2025-04-01,90.595
DUOL,2025-04-01,327.38
GOOGL,2025-04-01,157.07
JPM,2025-04-01,243.66
META,2025-04-01,586
MSFT,2025-04-01,382.19
NVDA,2025-04-01,110.15
PANW,2025-04-01,171.31
SPY,2025-04-01,560.97
TSLA,2025-04-01,268.46
UNH,2025-04-01,523.12
WMT,2025-04-01,88.83
XOM,2025-04-01,119.04
AAPL,2025-04-02,223.89
AMD,2025-04-02,102.96
AMZN,2025-04-02,196.01
CRM,2025-04-02,271.54
CRWD,2025-04-02,92.8725
DUOL,2025-04-02,337.56
GOOGL,2025-04-02,157.04
JPM,2025-04-02,245.82
META,2025-04-02,583.93
MSFT,2025-04-02,382.14
NVDA,2025-04-02,110.42
PANW,2025-04-02,173.18
SPY,2025-04-02,564.52
TSLA,2025-04-02,282.76
UNH,2025-04-02,523.2
WMT,2025-04-02,89.76
XOM,2025-04-02,118.67
AAPL,2025-04-03,203.19
AMD,2025-04-03,93.8
AMZN,2025-04-03,178.41
CRM,2025-04-03,255.23
CRWD,2025-04-03,86.8475
DUOL,2025-04-03,313.9
GOOGL,2025-04-03,150.72
JPM,2025-04-03,228.69
META,2025-04-03,531.62
MSFT,2025-04-03,373.11
NVDA,2025-04-03,101.8
PANW,2025-04-03,165.17
SPY,2025-04-03,536.7
TSLA,2025-04-03,267.28
UNH,2025-04-03,540.44
WMT,2025-04-03,87.26
XOM,2025-04-03,112.43
AAPL,2025-04-04,188.38
AMD,2025-04-04,85.76
AMZN,2025-04-04,171
CRM,2025-04-04,240.76
CRWD,2025-04-04,80.4075
DUOL,2025-04-04,292.88
GOOGL,2025-04-04,145.6
JPM,2025-04-04,210.28
META,2025-04-04,504.73
MSFT,2025-04-04,359.84
NVDA,2025-04-04,94.31
PANW,2025-04-04,153.57
SPY,2025-04-04,505.28
TSLA,2025-04-04,239.43
UNH,2025-04-04,525.05
WMT,2025-04-04,83.19
XOM,2025-04-04,104.34
AAPL,2025-04-07,181.46
AMD,2025-04-07,83.64
AMZN,2025-04-07,175.26
CRM,2025-04-07,244.21
CRWD,2025-04-07,81.09
DUOL,2025-04-07,296.51
GOOGL,2025-04-07,146.75
JPM,2025-04-07,214.44
META,2025-04-07,516.25
MSFT,2025-04-07,357.86
NVDA,2025-04-07,97.64
PANW,2025-04-07,152.44
SPY,2025-04-07,504.38
TSLA,2025-04-07,233.29
UNH,2025-04-07,524.7
WMT,2025-04-07,83.83
XOM,2025-04-07,102.94
AAPL,2025-04-08,172.42
AMD,2025-04-08,78.21
AMZN,2025-04-08,170.66
CRM,2025-04-08,243.99
CRWD,2025-04-08,81.26
DUOL,2025-04-08,293.27
GOOGL,2025-04-08,144.7
JPM,2025-04-08,216.87
META,2025-04-08,510.45
MSFT,2025-04-08,354.56
NVDA,2025-04-08,96.3
PANW,2025-04-08,152.53
SPY,2025-04-08,496.48
TSLA,2025-04-08,221.86
UNH,2025-04-08,553.08
WMT,2025-04-08,81.79
XOM,2025-04-08,100.77
AAPL,2025-04-09,198.85
AMD,2025-04-09,96.84
AMZN,2025-04-09,191.1
CRM,2025-04-09,265.17
CRWD,2025-04-09,94.5025
DUOL,2025-04-09,337.4
GOOGL,2025-04-09,158.71
JPM,2025-04-09,234.34
META,2025-04-09,585.77
MSFT,2025-04-09,390.49
NVDA,2025-04-09,114.33
PANW,2025-04-09,173.02
SPY,2025-04-09,548.62
TSLA,2025-04-09,272.2
UNH,2025-04-09,578.5
WMT,2025-04-09,89.6
XOM,2025-04-09,105.8
AAPL,2025-04-10,190.42
AMD,2025-04-10,88.7
AMZN,2025-04-10,181.22
CRM,2025-04-10,255.12
CRWD,2025-04-10,92.1525
DUOL,2025-04-10,316.94
GOOGL,2025-04-10,152.82
JPM,2025-04-10,227.11
META,2025-04-10,546.29
MSFT,2025-04-10,381.35
NVDA,2025-04-10,107.57
PANW,2025-04-10,168.27
SPY,2025-04-10,524.58
TSLA,2025-04-10,252.4
UNH,2025-04-10,594.4
WMT,2025-04-10,90.61
XOM,2025-04-10,99.93
AAPL,2025-04-11,198.15
AMD,2025-04-11,93.4
AMZN,2025-04-11,184.87
CRM,2025-04-11,255
CRWD,2025-04-11,94.475
DUOL,2025-04-11,329.35
GOOGL,2025-04-11,157.14
JPM,2025-04-11,236.2
META,2025-04-11,543.57
MSFT,2025-04-11,388.45
NVDA,2025-04-11,110.93
PANW,2025-04-11,168.34
SPY,2025-04-11,533.94
TSLA,2025-04-11,252.31
UNH,2025-04-11,599.47
WMT,2025-04-11,92.8
XOM,2025-04-11,103.14
AAPL,2025-04-14,202.52
AMD,2025-04-14,94.5
AMZN,2025-04-14,182.12
CRM,2025-04-14,254.55
CRWD,2025-04-14,94.665
DUOL,2025-04-14,326.67
GOOGL,2025-04-14,159.07
JPM,2025-04-14,234.72
META,2025-04-14,531.48
MSFT,2025-04-14,387.81
NVDA,2025-04-14,110.71
PANW,2025-04-14,169.98
SPY,2025-04-14,539.12
TSLA,2025-04-14,252.35
UNH,2025-04-14,587.06
WMT,2025-04-14,94.73
XOM,2025-04-14,103.39
AAPL,2025-04-15,202.14
AMD,2025-04-15,95.29
AMZN,2025-04-15,179.59
CRM,2025-04-15,254.93
CRWD,2025-04-15,98.2
DUOL,2025-04-15,325.17
GOOGL,2025-04-15,156.31
JPM,2025-04-15,233.13
META,2025-04-15,521.52
MSFT,2025-04-15,385.73
NVDA,2025-04-15,112.2
PANW,2025-04-15,173.55
SPY,2025-04-15,537.61
TSLA,2025-04-15,254.11
UNH,2025-04-15,583.59
WMT,2025-04-15,93.97
XOM,2025-04-15,103.1
AAPL,2025-04-16,194.27
AMD,2025-04-16,88.29
AMZN,2025-04-16,174.33
CRM,2025-04-16,249.84
CRWD,2025-04-16,94.96
DUOL,2025-04-16,326.4
GOOGL,2025-04-16,153.33
JPM,2025-04-16,229.61
META,2025-04-16,502.31
MSFT,2025-04-16,371.61
