symbol,company,sector,industry,price,prev_close,vwap,market_cap,shares_outstanding,ret_1d,ret_5d,ret_1m,ret_3m,ret_6m,ret_1y,rsi14,adx,macd,macd_signal,bb_pct,sma20,sma50,sma200,above_ma20,above_ma50,above_ma200,golden_cross,trend_strength,range_pct,vol_20d,vol_60d,vol_252d,avg_vol_20d,pe_ratio,pb_ratio,ps_ratio,peg_ratio,roe,roa,roic,profit_margin,gross_margin,operating_margin,debt_equity,current_ratio,interest_coverage,revenue_growth,earnings_growth,fcf_growth,eps_growth,dcf_value,dcf_upside,eps,eps_estimate,eps_surprise_pct,earnings_beat_count,analyst_score,strong_buy,buy,hold,sell,total_analysts,beta,short_ratio,short_pct,adj_close_tiingo,tiingo_ret1m,sec_revenue,sec_net_income,high_52w,low_52w,fed_rate,yield_spread,vix,regime,data_confidence,last_updated
COP,NA,NA,NA,121.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.38,NA,3.4225,3.2831,0.904,114.7,106.76,95.83,TRUE,TRUE,TRUE,TRUE,60,98.5,28.22,31.82,34.54,10142675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,8,16,8,1,33,0.29494932,NA,NA,122.87,13.811,NA,NA,121.89,82.66,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
COST,NA,NA,NA,1001.74,1001.74,1001.9661,NA,NA,NA,NA,NA,NA,NA,NA,54.29,15.48479,0.7988,0.9738,0.599,998.21,973.01,950.51,TRUE,TRUE,TRUE,TRUE,40,73.4,17.96,19.96,21.76,1917275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,4.54,0.88,4,73.9,13,17,13,1,44,1.0044314,NA,NA,996.16,-1.57,NA,NA,1056.85,850,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
CRWD,NA,NA,NA,423.84,433.2,432.9786,NA,NA,NA,NA,NA,NA,NA,NA,51.7,21.32777,0.9425,-0.6423,0.65,405.83,428.5,468.5,TRUE,FALSE,FALSE,FALSE,65,43.3,63.64,50.42,46.82,5274715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4,11,30,17,1,60,1.0454733,NA,NA,433.2,4.566,NA,NA,557.53,321.63,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
CSX,NA,NA,NA,39.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.79,NA,0.0991,1.2727,0.161,41.41,39.13,35.7,FALSE,TRUE,TRUE,TRUE,65,79.4,25.2,21.73,23.93,12446490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.8,8,15,7,0,30,1.2867653,NA,NA,NA,NA,NA,NA,43.17,26.69,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
CVX,NA,NA,NA,196.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.82,NA,2.6936,2.5557,0.982,188.05,177.4,158.37,TRUE,TRUE,TRUE,TRUE,55,99.8,21.37,23.84,25.32,12166520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3,6,15,10,1,32,0.67532814,NA,NA,197.97,9.648,NA,NA,196.97,133.73,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
DDOG,NA,NA,NA,126.57,128.87,129.2386,NA,NA,NA,NA,NA,NA,NA,NA,54.7,11.50875,0.7677,-0.6552,0.761,118.65,123.39,139.13,TRUE,TRUE,FALSE,FALSE,50,35.1,67.16,64.64,53.68,5380235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.6,17,31,5,1,54,1.3417047,NA,NA,128.87,5.148,NA,NA,199.72,87,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
DE,NA,NA,NA,572.48,572.48,574.7165,NA,NA,NA,NA,NA,NA,NA,NA,42.18,32.12224,0.4505,1.9873,0.121,612.47,562.88,505.22,FALSE,TRUE,TRUE,TRUE,30,63.9,47.27,36.46,30.01,1850905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4,6,15,12,0,34,1.0099839,NA,NA,574.26,-4.424,NA,NA,662.49,412.99,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
DHR,NA,NA,NA,191.39,191.39,190.6107,NA,NA,NA,NA,NA,NA,NA,NA,32.39,48.20598,-3.7963,-3.2306,0.148,202.58,218.28,210.27,FALSE,FALSE,FALSE,TRUE,45,24.8,28.02,25.6,31.95,4110890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,2.19,1.83,4,80.8,11,15,4,0,30,0.9265038,NA,NA,195.21,-5.403,NA,NA,242.05,174.64,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
EOG,NA,NA,NA,134.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.31,NA,3.8958,3.7796,0.899,127.14,116.71,114.7,TRUE,TRUE,TRUE,TRUE,60,100,26.37,28.48,29.56,6071570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8,6,15,17,0,38,0.41959015,NA,NA,135.72,13.336,NA,NA,134.51,101.78,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
EW,NA,NA,NA,83.56,83.56,83.5414,NA,NA,NA,NA,NA,NA,NA,NA,51.35,16.71275,0.738,0.8251,0.53,83.25,82.6,80.32,TRUE,TRUE,TRUE,TRUE,55,82,31.51,26.2,23.77,4824520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.6196,-6.39,3,74.4,11,20,12,0,43,0.8864841,NA,NA,84.27,7.419,NA,NA,87.18,67.07,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
